schema_version,capture_timestamp,spot,india_vix,nifty_index_last,index_day_high,index_day_low
2.1.0,2026-08-28T10:48:20+05:30,24159.3,10.72,24159.3,24188.3,24106.55
2.1.0,2026-08-28T10:48:40+05:30,24159.65,10.71,24159.65,24188.3,24106.55
2.1.0,2026-08-28T10:49:19+05:30,24158.8,10.73,24158.8,24188.3,24106.55
2.1.0,2026-08-28T10:49:39+05:30,24161.65,10.75,24161.65,24188.3,24106.55
2.1.0,2026-08-28T10:50:20+05:30,24164.9,10.73,24164.9,24188.3,24106.55
2.1.0,2026-08-28T10:50:40+05:30,24166.9,10.72,24166.9,24188.3,24106.55
2.1.0,2026-08-28T10:51:40+05:30,24168.15,10.74,24168.15,24188.3,24106.55
2.1.0,2026-08-28T10:52:20+05:30,24164.3,10.71,24164.3,24188.3,24106.55
2.1.0,2026-08-28T10:52:40+05:30,24164.8,10.71,24164.8,24188.3,24106.55
2.1.0,2026-08-28T10:53:20+05:30,24162.65,10.72,24162.65,24188.3,24106.55
2.1.0,2026-08-28T10:53:40+05:30,24162.15,10.73,24162.15,24188.3,24106.55
2.1.0,2026-08-28T10:54:20+05:30,24160.25,10.73,24160.25,24188.3,24106.55
2.1.0,2026-08-28T10:54:40+05:30,24157.7,10.76,24157.7,24188.3,24106.55
2.1.0,2026-08-28T10:55:20+05:30,24153.3,10.73,24153.3,24188.3,24106.55
2.1.0,2026-08-28T10:55:40+05:30,24151.8,10.77,24151.8,24188.3,24106.55
2.1.0,2026-08-28T10:56:20+05:30,24151.8,10.75,24151.8,24188.3,24106.55
2.1.0,2026-08-28T10:56:40+05:30,24155.3,10.74,24155.3,24188.3,24106.55
2.1.0,2026-08-28T10:57:20+05:30,24156.25,10.75,24156.25,24188.3,24106.55
2.1.0,2026-08-28T10:57:40+05:30,24157.15,10.76,24157.15,24188.3,24106.55
2.1.0,2026-08-28T10:58:20+05:30,24161.4,10.75,24161.4,24188.3,24106.55
2.1.0,2026-08-28T10:58:40+05:30,24159.55,10.77,24159.55,24188.3,24106.55
2.1.0,2026-08-28T10:59:20+05:30,24158.75,10.79,24158.75,24188.3,24106.55
2.1.0,2026-08-28T10:59:40+05:30,24155.75,10.79,24155.75,24188.3,24106.55
2.1.0,2026-08-28T11:00:20+05:30,24156.3,10.8,24156.3,24188.3,24106.55
2.1.0,2026-08-28T11:00:40+05:30,24154.3,10.8,24154.3,24188.3,24106.55
2.1.0,2026-08-28T11:01:20+05:30,24154.2,10.8,24154.2,24188.3,24106.55
2.1.0,2026-08-28T11:01:40+05:30,24157.15,10.79,24157.15,24188.3,24106.55
2.1.0,2026-08-28T11:02:20+05:30,24161.7,10.77,24161.7,24188.3,24106.55
2.1.0,2026-08-28T11:02:40+05:30,24160.55,10.77,24160.55,24188.3,24106.55
2.1.0,2026-08-28T11:03:20+05:30,24159.35,10.77,24159.35,24188.3,24106.55
2.1.0,2026-08-28T11:03:40+05:30,24160.4,10.76,24160.4,24188.3,24106.55
2.1.0,2026-08-28T11:04:20+05:30,24157.9,10.77,24157.9,24188.3,24106.55
2.1.0,2026-08-28T11:04:40+05:30,24158.1,10.76,24158.1,24188.3,24106.55
2.1.0,2026-08-28T11:05:19+05:30,24159.6,10.75,24159.6,24188.3,24106.55
2.1.0,2026-08-28T11:05:39+05:30,24158.15,10.75,24158.15,24188.3,24106.55
2.1.0,2026-08-28T11:06:20+05:30,24158.7,10.75,24158.7,24188.3,24106.55
2.1.0,2026-08-28T11:06:40+05:30,24158.15,10.78,24158.15,24188.3,24106.55
2.1.0,2026-08-28T11:07:20+05:30,24153.7,10.76,24153.7,24188.3,24106.55
2.1.0,2026-08-28T11:07:40+05:30,24151.4,10.72,24151.4,24188.3,24106.55
2.1.0,2026-08-28T11:08:19+05:30,24150.15,10.73,24150.15,24188.3,24106.55
2.1.0,2026-08-28T11:08:40+05:30,24151.45,10.73,24151.45,24188.3,24106.55
2.1.0,2026-08-28T11:09:20+05:30,24146.75,10.71,24146.75,24188.3,24106.55
2.1.0,2026-08-28T11:09:40+05:30,24143.55,10.71,24143.55,24188.3,24106.55
2.1.0,2026-08-28T11:10:20+05:30,24144.6,10.7,24144.6,24188.3,24106.55
2.1.0,2026-08-28T11:10:40+05:30,24146.0,10.71,24146.0,24188.3,24106.55
2.1.0,2026-08-28T11:11:20+05:30,24145.15,10.75,24145.15,24188.3,24106.55
2.1.0,2026-08-28T11:11:40+05:30,24146.1,10.76,24146.1,24188.3,24106.55
2.1.0,2026-08-28T11:12:20+05:30,24150.55,10.72,24150.55,24188.3,24106.55
2.1.0,2026-08-28T11:12:40+05:30,24154.45,10.72,24154.45,24188.3,24106.55
