schema_version,snapshot_id,capture_timestamp,source_timestamp,timezone,source,nifty_last,nifty_pchange,bank_last,bank_pchange,it_last,it_pchange,fin_service_last,fin_service_pchange,fmcg_last,fmcg_pchange,auto_last,auto_pchange,metal_last,metal_pchange,pharma_last,pharma_pchange,energy_last,energy_pchange,psu_bank_last,psu_bank_pchange,realty_last,realty_pchange,midcap_select_last,midcap_select_pchange,infra_last,infra_pchange
2.1.0,20260828_104752_021,2026-08-28T10:47:52+05:30,2026-08-28T10:47:52+05:30,Asia/Kolkata,NSE,24157.6,0.28,57562.95,0.09,31150.35,3.07,26303.9,0.09,46908.45,-0.26,28970.25,0.3,13468.2,0.32,26878.6,0.11,38047.5,-0.15,8593.1,0.06,914.3,0.52,,,9230.7,-0.08
2.1.0,20260828_104803_000,2026-08-28T10:48:03+05:30,2026-08-28T10:48:03+05:30,Asia/Kolkata,NSE,24157.65,0.28,57565.0,0.1,31147.2,3.06,26305.1,0.09,46907.45,-0.26,28970.7,0.3,13468.9,0.33,26877.2,0.11,38048.8,-0.14,8592.95,0.06,914.1,0.49,,,9230.9,-0.07
2.1.0,20260828_104903_000,2026-08-28T10:49:03+05:30,2026-08-28T10:49:03+05:30,Asia/Kolkata,NSE,24157.8,0.28,57568.4,0.1,31155.4,3.09,26304.35,0.09,46901.8,-0.27,28970.05,0.3,13466.9,0.31,26874.8,0.1,38050.8,-0.14,8595.35,0.09,914.15,0.5,,,9231.85,-0.06
2.1.0,20260828_105003_000,2026-08-28T10:50:03+05:30,2026-08-28T10:50:03+05:30,Asia/Kolkata,NSE,24163.4,0.3,57587.35,0.13,31157.4,3.1,26310.85,0.11,46919.55,-0.24,28971.1,0.3,13470.6,0.34,26874.45,0.1,38055.5,-0.13,8595.65,0.09,914.05,0.49,,,9233.85,-0.04
2.1.0,20260828_105103_001,2026-08-28T10:51:03+05:30,2026-08-28T10:51:03+05:30,Asia/Kolkata,NSE,24167.75,0.32,57588.5,0.14,31156.45,3.09,26312.1,0.12,46925.75,-0.22,28986.5,0.36,13470.0,0.33,26876.4,0.1,38071.45,-0.09,8596.15,0.1,914.15,0.5,,,9237.4,-0.0
2.1.0,20260828_105120_196,2026-08-28T10:51:20+05:30,2026-08-28T10:51:20+05:30,Asia/Kolkata,NSE,24169.95,0.33,57593.75,0.15,31158.6,3.1,26314.0,0.13,46929.25,-0.22,28989.3,0.37,13466.6,0.31,26877.45,0.11,38068.85,-0.09,8596.85,0.11,914.2,0.51,,,9238.35,0.01
2.1.0,20260828_105203_001,2026-08-28T10:52:03+05:30,2026-08-28T10:52:03+05:30,Asia/Kolkata,NSE,24165.65,0.31,57579.85,0.12,31160.95,3.11,26307.55,0.1,46931.45,-0.21,28984.6,0.35,13464.8,0.29,26888.6,0.15,38066.85,-0.1,8594.25,0.08,914.2,0.51,,,9236.25,-0.02
2.1.0,20260828_105303_001,2026-08-28T10:53:03+05:30,2026-08-28T10:53:03+05:30,Asia/Kolkata,NSE,24164.1,0.3,57584.05,0.13,31166.5,3.13,26309.6,0.11,46930.8,-0.21,28986.1,0.36,13458.25,0.25,26890.25,0.15,38068.55,-0.09,8595.05,0.08,914.15,0.5,,,9234.9,-0.03
2.1.0,20260828_105403_001,2026-08-28T10:54:03+05:30,2026-08-28T10:54:03+05:30,Asia/Kolkata,NSE,24159.9,0.29,57572.05,0.11,31161.35,3.11,26302.95,0.08,46932.45,-0.21,28984.8,0.35,13461.4,0.27,26893.7,0.17,38068.25,-0.09,8594.1,0.07,913.8,0.46,,,9232.85,-0.05
2.1.0,20260828_105503_000,2026-08-28T10:55:03+05:30,2026-08-28T10:55:03+05:30,Asia/Kolkata,NSE,24155.7,0.27,57563.9,0.09,31161.6,3.11,26297.35,0.06,46929.65,-0.21,28979.1,0.33,13460.8,0.27,26904.6,0.21,38063.05,-0.11,8591.95,0.05,913.75,0.46,,,9231.75,-0.07
2.1.0,20260828_105603_001,2026-08-28T10:56:03+05:30,2026-08-28T10:56:03+05:30,Asia/Kolkata,NSE,24151.0,0.25,57552.5,0.07,31163.3,3.12,26289.45,0.03,46939.25,-0.19,28975.5,0.32,13460.75,0.26,26911.7,0.23,38056.15,-0.13,8591.3,0.04,913.2,0.4,,,9230.75,-0.08
2.1.0,20260828_105703_000,2026-08-28T10:57:03+05:30,2026-08-28T10:57:03+05:30,Asia/Kolkata,NSE,24157.0,0.27,57553.4,0.08,31168.35,3.13,26294.9,0.05,46951.3,-0.17,28984.55,0.35,13461.45,0.27,26906.9,0.22,38061.9,-0.11,8595.0,0.08,913.0,0.37,,,9232.15,-0.06
2.1.0,20260828_105803_000,2026-08-28T10:58:03+05:30,2026-08-28T10:58:03+05:30,Asia/Kolkata,NSE,24157.45,0.28,57542.05,0.06,31167.45,3.13,26294.6,0.05,46953.6,-0.16,28984.55,0.35,13462.2,0.28,26911.2,0.23,38056.15,-0.13,8591.6,0.04,913.5,0.43,,,9233.0,-0.05
2.1.0,20260828_105903_001,2026-08-28T10:59:03+05:30,2026-08-28T10:59:03+05:30,Asia/Kolkata,NSE,24158.4,0.28,57549.45,0.07,31175.65,3.16,26298.15,0.07,46969.5,-0.13,28978.2,0.33,13462.35,0.28,26913.35,0.24,38056.65,-0.12,8593.95,0.07,913.15,0.39,,,9234.2,-0.04
2.1.0,20260828_110003_000,2026-08-28T11:00:03+05:30,2026-08-28T11:00:03+05:30,Asia/Kolkata,NSE,24156.85,0.27,57547.15,0.06,31185.9,3.19,26296.35,0.06,46964.25,-0.14,28952.85,0.24,13461.35,0.27,26916.85,0.25,38055.5,-0.13,8592.55,0.06,912.6,0.33,,,9234.35,-0.04
2.1.0,20260828_110103_001,2026-08-28T11:01:03+05:30,2026-08-28T11:01:03+05:30,Asia/Kolkata,NSE,24155.35,0.27,57538.65,0.05,31190.85,3.21,26291.35,0.04,46963.7,-0.14,28940.8,0.2,13463.0,0.28,26921.95,0.27,38055.4,-0.13,8590.75,0.03,912.4,0.31,,,9235.05,-0.03
2.1.0,20260828_110203_000,2026-08-28T11:02:03+05:30,2026-08-28T11:02:03+05:30,Asia/Kolkata,NSE,24160.0,0.29,57539.7,0.05,31216.35,3.29,26291.65,0.04,46964.6,-0.14,28947.15,0.22,13464.55,0.29,26919.7,0.26,38057.05,-0.12,8589.6,0.02,912.55,0.32,,,9236.45,-0.01
2.1.0,20260828_110303_000,2026-08-28T11:03:03+05:30,2026-08-28T11:03:03+05:30,Asia/Kolkata,NSE,24160.45,0.29,57545.25,0.06,31218.25,3.3,26295.55,0.06,46969.95,-0.13,28948.8,0.23,13460.45,0.26,26916.9,0.25,38067.15,-0.1,8589.0,0.01,912.4,0.31,,,9235.95,-0.02
2.1.0,20260828_110310_607,2026-08-28T11:03:10+05:30,2026-08-28T11:03:10+05:30,Asia/Kolkata,NSE,24160.35,0.29,57543.95,0.06,31220.35,3.31,26294.7,0.05,46968.55,-0.13,28948.45,0.22,13462.4,0.28,26916.7,0.25,38062.85,-0.11,8589.95,0.03,912.35,0.3,,,9235.95,-0.02
2.1.0,20260828_110403_001,2026-08-28T11:04:03+05:30,2026-08-28T11:04:03+05:30,Asia/Kolkata,NSE,24158.45,0.28,57527.7,0.03,31230.1,3.34,26291.3,0.04,46965.55,-0.14,28943.55,0.21,13459.2,0.25,26912.15,0.24,38060.2,-0.11,8588.2,0.0,912.5,0.32,,,9235.0,-0.03
2.1.0,20260828_110502_999,2026-08-28T11:05:02+05:30,2026-08-28T11:05:02+05:30,Asia/Kolkata,NSE,24159.9,0.29,57534.6,0.04,31260.55,3.44,26291.6,0.04,46968.05,-0.13,28933.05,0.17,13456.15,0.23,26911.2,0.23,38066.6,-0.1,8590.85,0.04,913.0,0.37,,,9234.6,-0.03
2.1.0,20260828_110603_000,2026-08-28T11:06:03+05:30,2026-08-28T11:06:03+05:30,Asia/Kolkata,NSE,24157.2,0.28,57526.2,0.03,31239.45,3.37,26288.1,0.03,46950.0,-0.17,28937.15,0.19,13461.1,0.27,26904.45,0.21,38070.95,-0.09,8590.35,0.03,912.85,0.36,,,9234.6,-0.03
2.1.0,20260828_110703_000,2026-08-28T11:07:03+05:30,2026-08-28T11:07:03+05:30,Asia/Kolkata,NSE,24154.95,0.27,57527.55,0.03,31222.65,3.31,26294.3,0.05,46943.4,-0.19,28933.05,0.17,13462.0,0.27,26902.6,0.2,38072.45,-0.08,8590.5,0.03,912.85,0.36,,,9234.3,-0.04
2.1.0,20260828_110803_000,2026-08-28T11:08:03+05:30,2026-08-28T11:08:03+05:30,Asia/Kolkata,NSE,24151.0,0.25,57515.5,0.01,31202.9,3.25,26289.85,0.04,46939.7,-0.19,28930.5,0.16,13457.75,0.24,26905.75,0.21,38070.0,-0.09,8588.3,0.01,912.75,0.35,,,9234.1,-0.04
2.1.0,20260828_110902_999,2026-08-28T11:09:02+05:30,2026-08-28T11:09:02+05:30,Asia/Kolkata,NSE,24149.9,0.25,57506.55,-0.01,31203.15,3.25,26290.4,0.04,46935.7,-0.2,28930.4,0.16,13469.4,0.33,26898.7,0.19,38066.3,-0.1,8588.7,0.01,912.75,0.35,,,9233.0,-0.05
2.1.0,20260828_111003_000,2026-08-28T11:10:03+05:30,2026-08-28T11:10:03+05:30,Asia/Kolkata,NSE,24142.9,0.22,57476.65,-0.06,31178.05,3.17,26277.1,-0.01,46930.3,-0.21,28925.9,0.15,13472.45,0.35,26896.7,0.18,38054.55,-0.13,8580.6,-0.08,912.15,0.28,,,9231.2,-0.07
2.1.0,20260828_111103_000,2026-08-28T11:11:03+05:30,2026-08-28T11:11:03+05:30,Asia/Kolkata,NSE,24146.25,0.23,57482.4,-0.05,31182.0,3.18,26278.25,-0.01,46929.2,-0.22,28932.05,0.17,13482.85,0.43,26901.55,0.2,38064.45,-0.1,8583.15,-0.05,912.3,0.3,,,9231.4,-0.07
2.1.0,20260828_111203_000,2026-08-28T11:12:03+05:30,2026-08-28T11:12:03+05:30,Asia/Kolkata,NSE,24146.85,0.23,57488.15,-0.04,31185.0,3.19,26279.75,-0.0,46922.2,-0.23,28931.05,0.16,13481.45,0.42,26900.2,0.19,38067.7,-0.1,8583.15,-0.05,912.55,0.32,,,9233.35,-0.05
2.1.0,20260828_111303_000,2026-08-28T11:13:03+05:30,2026-08-28T11:13:03+05:30,Asia/Kolkata,NSE,24156.3,0.27,57512.75,0.0,31211.45,3.28,26290.25,0.04,46928.55,-0.22,28928.3,0.16,13489.45,0.48,26906.65,0.22,38087.75,-0.04,8587.65,-0.0,912.35,0.3,,,9237.1,-0.01
