schema_version,snapshot_id,capture_timestamp,source_timestamp,timezone,source,expiry,chain_hash,source_age_seconds,source_is_stale,spot_chain,chain_data_age_seconds,chain_frozen,minutes_to_close,spot_high_1m,spot_low_1m,spot_samples_1m,nifty_index_last,nifty_day_open,nifty_day_high,nifty_day_low,nifty_previous_close,nifty_year_high,nifty_year_low,india_vix,vix_day_open,vix_day_high,vix_day_low,vix_previous_close,current_atm,session_anchor_atm,scheduled_event_note,external_source,external_source_timestamp,external_age_seconds,external_is_stale,nifty_futures,futures_open_1m,futures_high_1m,futures_low_1m,futures_close_1m,futures_volume_1m,futures_vwap,true_futures_context_available
2.1.0,20260828_104752_021,2026-08-28T10:47:52+05:30,2026-08-28T10:47:52+05:30,Asia/Kolkata,UPSTOX,2026-09-01,146399076a2dd16d,0.0,False,24158.0,0.0,False,282.1,24158.0,24158.0,1,24157.6,24122.6,24188.3,24106.55,24090.85,,,10.74,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_104803_000,2026-08-28T10:48:03+05:30,2026-08-28T10:48:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,aa897da5d2c38c1c,0.0,False,24157.55,0.0,False,281.9,24158.0,24157.55,2,24157.65,24122.6,24188.3,24106.55,24090.85,,,10.74,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_104903_000,2026-08-28T10:49:03+05:30,2026-08-28T10:49:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,bc08bd0c4ca96796,0.0,False,24157.6,0.0,False,280.9,24159.65,24157.6,3,24157.8,24122.6,24188.3,24106.55,24090.85,,,10.74,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_105003_000,2026-08-28T10:50:03+05:30,2026-08-28T10:50:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,2bb539c288181b4e,0.0,False,24164.1,0.0,False,279.9,24164.1,24158.8,3,24163.4,24122.6,24188.3,24106.55,24090.85,,,10.73,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_105103_001,2026-08-28T10:51:03+05:30,2026-08-28T10:51:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,66e8a3c22babdacc,0.0,False,24168.0,0.0,False,278.9,24168.0,24164.9,3,24167.75,24122.6,24188.3,24106.55,24090.85,,,10.73,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_105120_196,2026-08-28T10:51:20+05:30,2026-08-28T10:51:20+05:30,Asia/Kolkata,UPSTOX,2026-09-01,6074b1e920634363,0.0,False,24169.95,0.0,False,278.7,24169.95,24169.95,1,24169.95,24122.6,24188.3,24106.55,24090.85,,,10.74,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_105203_001,2026-08-28T10:52:03+05:30,2026-08-28T10:52:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,b937edf1c90879cf,0.0,False,24165.65,0.0,False,277.9,24169.95,24165.65,3,24165.65,24122.6,24188.3,24106.55,24090.85,,,10.71,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_105303_001,2026-08-28T10:53:03+05:30,2026-08-28T10:53:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,3e16ff1bc696e8e8,0.0,False,24163.75,0.0,False,276.9,24164.8,24163.75,3,24164.1,24122.6,24188.3,24106.55,24090.85,,,10.71,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_105403_001,2026-08-28T10:54:03+05:30,2026-08-28T10:54:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,6c3ea4170676b76c,0.0,False,24159.5,0.0,False,275.9,24162.65,24159.5,3,24159.9,24122.6,24188.3,24106.55,24090.85,,,10.74,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_105503_000,2026-08-28T10:55:03+05:30,2026-08-28T10:55:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,4b8b838ef5a501b4,0.0,False,24155.7,0.0,False,274.9,24160.25,24155.7,3,24155.7,24122.6,24188.3,24106.55,24090.85,,,10.74,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_105603_001,2026-08-28T10:56:03+05:30,2026-08-28T10:56:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,e261569c5e2b1e46,0.0,False,24151.2,0.0,False,273.9,24153.3,24151.2,3,24151.0,24122.6,24188.3,24106.55,24090.85,,,10.74,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_105703_000,2026-08-28T10:57:03+05:30,2026-08-28T10:57:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,e385b72eb8d44131,0.0,False,24156.55,0.0,False,272.9,24156.55,24151.8,3,24157.0,24122.6,24188.3,24106.55,24090.85,,,10.74,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_105803_000,2026-08-28T10:58:03+05:30,2026-08-28T10:58:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,69086f89eda3b93c,0.0,False,24157.05,0.0,False,271.9,24157.15,24156.25,3,24157.45,24122.6,24188.3,24106.55,24090.85,,,10.76,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_105903_001,2026-08-28T10:59:03+05:30,2026-08-28T10:59:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,5b0a63a299d7c125,0.0,False,24158.85,0.0,False,270.9,24161.4,24158.85,3,24158.4,24122.6,24188.3,24106.55,24090.85,,,10.77,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_110003_000,2026-08-28T11:00:03+05:30,2026-08-28T11:00:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,4dc2e4ede915b9ef,0.0,False,24156.85,0.0,False,269.9,24158.75,24155.75,3,24156.85,24122.6,24188.3,24106.55,24090.85,,,10.79,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_110103_001,2026-08-28T11:01:03+05:30,2026-08-28T11:01:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,ec11f4a10cc37f1d,0.0,False,24154.95,0.0,False,268.9,24156.3,24154.3,3,24155.35,24122.6,24188.3,24106.55,24090.85,,,10.8,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
2.1.0,20260828_110203_000,2026-08-28T11:02:03+05:30,2026-08-28T11:02:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,4f20d232632b33ef,0.0,False,24159.7,0.0,False,267.9,24159.7,24154.2,3,24160.0,24122.6,24188.3,24106.55,24090.85,,,10.79,11.07,11.1,10.54,11.07,24150,24150,,,,,,,,,,,,,False
