schema_version,snapshot_id,capture_timestamp,source_timestamp,timezone,source,underlying,expiry,lot_size,chain_hash,source_age_seconds,source_is_stale,spot,nifty_index_last,nifty_day_open,nifty_day_high,nifty_day_low,nifty_previous_close,india_vix,current_atm,session_anchor_atm,strike,strike_distance_from_spot,moneyness,interval_seconds,ce_interval_seconds,pe_interval_seconds,ce_identifier,ce_oi,ce_exchange_change_oi,ce_exchange_pchange_oi,ce_interval_oi_change,ce_volume_cumulative,ce_interval_volume,ce_volume_counter_reset,ce_ltp,ce_price_change,ce_price_pchange,ce_iv,ce_iv_valid,ce_bid,ce_bid_qty,ce_ask,ce_ask_qty,ce_total_buy_qty,ce_total_sell_qty,ce_mid,ce_spread,ce_spread_pct,ce_intrinsic,ce_extrinsic_ltp,pe_identifier,pe_oi,pe_exchange_change_oi,pe_exchange_pchange_oi,pe_interval_oi_change,pe_volume_cumulative,pe_interval_volume,pe_volume_counter_reset,pe_ltp,pe_price_change,pe_price_pchange,pe_iv,pe_iv_valid,pe_bid,pe_bid_qty,pe_ask,pe_ask_qty,pe_total_buy_qty,pe_total_sell_qty,pe_mid,pe_spread,pe_spread_pct,pe_intrinsic,pe_extrinsic_ltp,strike_oi_pcr,exchange_change_oi_ce_minus_pe
2.1.0,20260828_105503_000,2026-08-28T10:55:03+05:30,2026-08-28T10:55:03+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,4b8b838ef5a501b4,0.0,False,24155.7,24155.7,24122.6,24188.3,24106.55,24090.85,10.74,24150,24150,23900,-255.7,BELOW_SPOT,,60.0,60.0,NSE_FO|46981,4947,1347,,11,23657,48,False,351.8,38.05,12.1275,17.04,True,351.7,325,352.55,65,,,352.125,0.85,0.0024,255.7,96.1,NSE_FO|46982,113398,45415,,-183,524631,1295,False,12.75,-6.5,-33.7662,9.06,True,12.75,7280,12.8,15730,,,12.775,0.05,0.0039,0.0,12.75,22.9226,-44068
2.1.0,20260828_105503_000,2026-08-28T10:55:03+05:30,2026-08-28T10:55:03+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,4b8b838ef5a501b4,0.0,False,24155.7,24155.7,24122.6,24188.3,24106.55,24090.85,10.74,24150,24150,23950,-205.7,BELOW_SPOT,,60.0,60.0,NSE_FO|46983,3795,1620,,5,23253,47,False,306.9,37.65,13.9833,16.04,True,306.15,65,306.9,130,,,306.525,0.75,0.0024,205.7,101.2,NSE_FO|46984,62508,30690,,-134,382468,1653,False,17.1,-8.45,-33.0724,8.67,True,17.1,10400,17.2,15535,,,17.15,0.1,0.0058,0.0,17.1,16.4711,-29070
2.1.0,20260828_105503_000,2026-08-28T10:55:03+05:30,2026-08-28T10:55:03+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,4b8b838ef5a501b4,0.0,False,24155.7,24155.7,24122.6,24188.3,24106.55,24090.85,10.74,24150,24150,24000,-155.7,BELOW_SPOT,,60.0,60.0,NSE_FO|46985,32490,6433,,-73,217515,927,False,262.5,34.75,15.258,15.04,True,262.55,1300,263.2,520,,,262.875,0.65,0.0025,155.7,106.8,NSE_FO|46986,206288,96970,,28,1115798,5942,False,23.4,-11.7,-33.3333,8.29,True,23.3,6240,23.4,7930,,,23.35,0.1,0.0043,0.0,23.4,6.3493,-90537
2.1.0,20260828_105503_000,2026-08-28T10:55:03+05:30,2026-08-28T10:55:03+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,4b8b838ef5a501b4,0.0,False,24155.7,24155.7,24122.6,24188.3,24106.55,24090.85,10.74,24150,24150,24050,-105.7,BELOW_SPOT,,60.0,60.0,NSE_FO|46987,15768,5345,,-92,182465,472,False,221.0,29.7,15.5254,14.04,True,220.8,585,221.25,390,,,221.025,0.45,0.002,105.7,115.3,NSE_FO|46988,108240,71294,,-383,720205,4818,False,31.35,-15.3,-32.7974,7.86,True,31.35,6695,31.45,3705,,,31.4,0.1,0.0032,0.0,31.35,6.8645,-65949
2.1.0,20260828_105503_000,2026-08-28T10:55:03+05:30,2026-08-28T10:55:03+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,4b8b838ef5a501b4,0.0,False,24155.7,24155.7,24122.6,24188.3,24106.55,24090.85,10.74,24150,24150,24100,-55.7,BELOW_SPOT,,60.0,60.0,NSE_FO|46989,71471,24986,,-472,1021045,3404,False,182.1,26.85,17.2947,13.21,True,181.6,715,182.05,1365,,,181.825,0.45,0.0025,55.7,126.4,NSE_FO|46990,278339,194156,,-688,1967533,9650,False,42.7,-19.45,-31.2953,7.48,True,42.55,2600,42.6,65,,,42.575,0.05,0.0012,0.0,42.7,3.8944,-169170
2.1.0,20260828_105503_000,2026-08-28T10:55:03+05:30,2026-08-28T10:55:03+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,4b8b838ef5a501b4,0.0,False,24155.7,24155.7,24122.6,24188.3,24106.55,24090.85,10.74,24150,24150,24150,-5.7,ATM,,60.0,60.0,NSE_FO|46991,113811,53574,,-194,1372042,6986,False,146.3,19.45,15.3331,12.44,True,145.95,780,146.3,1950,,,146.125,0.35,0.0024,5.7,140.6,NSE_FO|46992,250908,196658,,1259,1899198,16294,False,56.8,-22.15,-28.0557,6.97,True,56.7,6240,56.9,7085,,,56.8,0.2,0.0035,0.0,56.8,2.2046,-143084
2.1.0,20260828_105503_000,2026-08-28T10:55:03+05:30,2026-08-28T10:55:03+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,4b8b838ef5a501b4,0.0,False,24155.7,24155.7,24122.6,24188.3,24106.55,24090.85,10.74,24150,24150,24200,44.3,ABOVE_SPOT,,60.0,60.0,NSE_FO|46993,239700,86012,,-619,1888882,11019,False,114.45,15.7,15.8987,11.89,True,114.45,2990,114.75,585,,,114.6,0.3,0.0026,0.0,114.45,NSE_FO|46994,293904,192726,,1177,1671274,15802,False,75.35,-27.45,-26.7023,6.41,True,75.2,5525,75.45,5720,,,75.325,0.25,0.0033,44.3,31.05,1.2261,-106714
2.1.0,20260828_105503_000,2026-08-28T10:55:03+05:30,2026-08-28T10:55:03+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,4b8b838ef5a501b4,0.0,False,24155.7,24155.7,24122.6,24188.3,24106.55,24090.85,10.74,24150,24150,24250,94.3,ABOVE_SPOT,,60.0,60.0,NSE_FO|46995,149672,60660,,-129,1064925,8566,False,87.25,10.35,13.459,11.38,True,87.25,3510,87.5,780,,,87.375,0.25,0.0029,0.0,87.25,NSE_FO|46996,95103,54573,,109,538644,5054,False,97.75,-31.1,-24.1366,5.62,True,97.7,195,97.75,260,,,97.725,0.05,0.0005,94.3,3.45,0.6354,6087
2.1.0,20260828_105503_000,2026-08-28T10:55:03+05:30,2026-08-28T10:55:03+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,4b8b838ef5a501b4,0.0,False,24155.7,24155.7,24122.6,24188.3,24106.55,24090.85,10.74,24150,24150,24300,144.3,ABOVE_SPOT,,60.0,60.0,NSE_FO|46997,255219,51889,,-181,1366553,11946,False,64.7,6.75,11.648,11.0,True,64.7,10855,64.85,260,,,64.775,0.15,0.0023,0.0,64.7,NSE_FO|46998,116658,40618,,-896,621053,4856,False,125.25,-37.1,-22.8519,4.21,True,125.2,650,125.55,1300,,,125.375,0.35,0.0028,144.3,-19.05,0.4571,11271
2.1.0,20260828_105503_000,2026-08-28T10:55:03+05:30,2026-08-28T10:55:03+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,4b8b838ef5a501b4,0.0,False,24155.7,24155.7,24122.6,24188.3,24106.55,24090.85,10.74,24150,24150,24350,194.3,ABOVE_SPOT,,60.0,60.0,NSE_FO|46999,164825,41510,,303,733133,4282,False,46.4,2.85,6.5442,10.64,True,46.4,5460,46.55,3705,,,46.475,0.15,0.0032,0.0,46.4,NSE_FO|47000,35508,9968,,-17,134205,1104,False,157.4,-37.6,-19.2821,0.0,False,157.0,715,157.45,1300,,,157.225,0.45,0.0029,194.3,-36.9,0.2154,31542
