schema_version,snapshot_id,capture_timestamp,source_timestamp,timezone,source,underlying,expiry,lot_size,chain_hash,source_age_seconds,source_is_stale,spot,nifty_index_last,nifty_day_open,nifty_day_high,nifty_day_low,nifty_previous_close,india_vix,current_atm,session_anchor_atm,strike,strike_distance_from_spot,moneyness,interval_seconds,ce_interval_seconds,pe_interval_seconds,ce_identifier,ce_oi,ce_exchange_change_oi,ce_exchange_pchange_oi,ce_interval_oi_change,ce_volume_cumulative,ce_interval_volume,ce_volume_counter_reset,ce_ltp,ce_price_change,ce_price_pchange,ce_iv,ce_iv_valid,ce_bid,ce_bid_qty,ce_ask,ce_ask_qty,ce_total_buy_qty,ce_total_sell_qty,ce_mid,ce_spread,ce_spread_pct,ce_intrinsic,ce_extrinsic_ltp,pe_identifier,pe_oi,pe_exchange_change_oi,pe_exchange_pchange_oi,pe_interval_oi_change,pe_volume_cumulative,pe_interval_volume,pe_volume_counter_reset,pe_ltp,pe_price_change,pe_price_pchange,pe_iv,pe_iv_valid,pe_bid,pe_bid_qty,pe_ask,pe_ask_qty,pe_total_buy_qty,pe_total_sell_qty,pe_mid,pe_spread,pe_spread_pct,pe_intrinsic,pe_extrinsic_ltp,strike_oi_pcr,exchange_change_oi_ce_minus_pe
2.1.0,20260828_104752_021,2026-08-28T10:47:52+05:30,2026-08-28T10:47:52+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,146399076a2dd16d,0.0,False,24158.0,24157.6,24122.6,24188.3,24106.55,24090.85,10.74,24150,24150,23550,-608.0,BELOW_SPOT,,,,NSE_FO|46967,250,-15,,,37,,False,690.65,41.35,6.3684,25.12,True,694.15,65,697.7,65,,,695.925,3.55,0.0051,608.0,82.65,NSE_FO|46968,38688,28954,,,114567,,False,3.65,-0.1,-2.6667,13.06,True,3.6,51090,3.65,21905,,,3.625,0.05,0.0138,0.0,3.65,154.752,-28969
2.1.0,20260828_104752_021,2026-08-28T10:47:52+05:30,2026-08-28T10:47:52+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,146399076a2dd16d,0.0,False,24158.0,24157.6,24122.6,24188.3,24106.55,24090.85,10.74,24150,24150,23600,-558.0,BELOW_SPOT,,,,NSE_FO|46969,585,-111,,,497,,False,642.1,50.0,8.4445,24.02,True,644.5,65,647.4,65,,,645.95,2.9,0.0045,558.0,84.1,NSE_FO|46970,75622,24262,,,203041,,False,4.05,-0.4,-8.9888,12.39,True,4.0,104065,4.05,42055,,,4.025,0.05,0.0124,0.0,4.05,129.2684,-24373
2.1.0,20260828_104752_021,2026-08-28T10:47:52+05:30,2026-08-28T10:47:52+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,146399076a2dd16d,0.0,False,24158.0,24157.6,24122.6,24188.3,24106.55,24090.85,10.74,24150,24150,23650,-508.0,BELOW_SPOT,,,,NSE_FO|46971,319,13,,,183,,False,592.9,50.55,9.3205,22.8,True,595.8,65,598.3,65,,,597.05,2.5,0.0042,508.0,84.9,NSE_FO|46972,37945,15860,,,162254,,False,4.5,-0.9,-16.6667,11.72,True,4.5,15990,4.55,49725,,,4.525,0.05,0.011,0.0,4.5,118.9498,-15847
2.1.0,20260828_104752_021,2026-08-28T10:47:52+05:30,2026-08-28T10:47:52+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,146399076a2dd16d,0.0,False,24158.0,24157.6,24122.6,24188.3,24106.55,24090.85,10.74,24150,24150,23700,-458.0,BELOW_SPOT,,,,NSE_FO|46973,2792,8,,,1410,,False,547.75,45.45,9.0484,22.11,True,546.55,130,548.25,260,,,547.4,1.7,0.0031,458.0,89.75,NSE_FO|46974,98685,20081,,,273555,,False,5.2,-1.55,-22.963,11.14,True,5.2,33930,5.25,24375,,,5.225,0.05,0.0096,0.0,5.2,35.3456,-20073
2.1.0,20260828_104752_021,2026-08-28T10:47:52+05:30,2026-08-28T10:47:52+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,146399076a2dd16d,0.0,False,24158.0,24157.6,24122.6,24188.3,24106.55,24090.85,10.74,24150,24150,23750,-408.0,BELOW_SPOT,,,,NSE_FO|46975,668,118,,,1073,,False,499.25,45.55,10.0397,20.9,True,497.7,130,499.5,455,,,498.6,1.8,0.0036,408.0,91.25,NSE_FO|46976,48145,17116,,,233170,,False,6.25,-2.35,-27.3256,10.56,True,6.25,28925,6.3,11115,,,6.275,0.05,0.008,0.0,6.25,72.0734,-16998
2.1.0,20260828_104752_021,2026-08-28T10:47:52+05:30,2026-08-28T10:47:52+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,146399076a2dd16d,0.0,False,24158.0,24157.6,24122.6,24188.3,24106.55,24090.85,10.74,24150,24150,23800,-358.0,BELOW_SPOT,,,,NSE_FO|46977,3104,194,,,7181,,False,451.1,48.7,12.1024,19.74,True,449.05,195,450.55,195,,,449.8,1.5,0.0033,358.0,93.1,NSE_FO|46978,134000,36391,,,425636,,False,7.6,-3.5,-31.5315,10.04,True,7.6,10790,7.65,22035,,,7.625,0.05,0.0066,0.0,7.6,43.1701,-36197
2.1.0,20260828_104752_021,2026-08-28T10:47:52+05:30,2026-08-28T10:47:52+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,146399076a2dd16d,0.0,False,24158.0,24157.6,24122.6,24188.3,24106.55,24090.85,10.74,24150,24150,23850,-308.0,BELOW_SPOT,,,,NSE_FO|46979,1429,450,,,3797,,False,405.0,49.75,14.0042,18.73,True,401.8,325,403.1,520,,,402.45,1.3,0.0032,308.0,97.0,NSE_FO|46980,52597,23813,,,249662,,False,9.75,-4.55,-31.8182,9.55,True,9.7,10205,9.75,22035,,,9.725,0.05,0.0051,0.0,9.75,36.8069,-23363
2.1.0,20260828_104752_021,2026-08-28T10:47:52+05:30,2026-08-28T10:47:52+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,146399076a2dd16d,0.0,False,24158.0,24157.6,24122.6,24188.3,24106.55,24090.85,10.74,24150,24150,23900,-258.0,BELOW_SPOT,,,,NSE_FO|46981,4860,1260,,,22924,,False,356.4,42.65,13.5936,17.29,True,355.1,65,355.95,390,,,355.525,0.85,0.0024,258.0,98.4,NSE_FO|46982,113411,45428,,,503933,,False,12.7,-6.55,-34.026,9.12,True,12.7,5720,12.75,32565,,,12.725,0.05,0.0039,0.0,12.7,23.3356,-44168
2.1.0,20260828_104752_021,2026-08-28T10:47:52+05:30,2026-08-28T10:47:52+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,146399076a2dd16d,0.0,False,24158.0,24157.6,24122.6,24188.3,24106.55,24090.85,10.74,24150,24150,23950,-208.0,BELOW_SPOT,,,,NSE_FO|46983,3744,1569,,,22591,,False,309.8,40.55,15.0604,16.13,True,309.0,65,309.65,65,,,309.325,0.65,0.0021,208.0,101.8,NSE_FO|46984,61526,29708,,,367727,,False,17.05,-8.5,-33.2681,8.71,True,17.05,11700,17.15,18395,,,17.1,0.1,0.0058,0.0,17.05,16.4332,-28139
2.1.0,20260828_104752_021,2026-08-28T10:47:52+05:30,2026-08-28T10:47:52+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,146399076a2dd16d,0.0,False,24158.0,24157.6,24122.6,24188.3,24106.55,24090.85,10.74,24150,24150,24000,-158.0,BELOW_SPOT,,,,NSE_FO|46985,32832,6775,,,210224,,False,265.5,37.75,16.5752,15.05,True,265.25,520,265.9,325,,,265.575,0.65,0.0024,158.0,107.5,NSE_FO|46986,205100,95782,,,1066135,,False,23.1,-12.0,-34.188,8.32,True,23.0,13390,23.1,6500,,,23.05,0.1,0.0043,0.0,23.1,6.247,-89007
