time,spot,or_h,or_l,or_cond,day_h,day_l,loc,px,vol,pos,final,notes,adx,adx_m,dmu,conf,dte,choppy,fade_hi,fade_lo,fb_lo,fb_hi,action,strat,reason,in_trade
09:20:30,23498.15,,,,23592.85,23487.3,0.103,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:20:45,23496.0,,,,23592.85,23487.3,0.082,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:21:00,23495.95,,,,23592.85,23487.3,0.082,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:21:15,23496.4,,,,23592.85,23487.3,0.086,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:21:31,23497.65,,,,23592.85,23487.3,0.098,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:21:45,23500.95,,,,23592.85,23487.3,0.129,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:22:00,23500.6,,,,23592.85,23481.45,0.172,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:22:15,23498.9,,,,23592.85,23481.45,0.157,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:22:31,23493.3,,,,23592.85,23481.45,0.106,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:22:46,23489.25,,,,23592.85,23481.45,0.070,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:23:01,23480.2,,,,23592.85,23476.35,0.033,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
09:23:16,23485.15,,,,23592.85,23476.35,0.076,OBSERVING,STRONG_SELL_PREMIUM,STRONG_RANGE,NO_TRADE,NO_TRADE:OR_NOT_ESTABLISHED,0.0,0,0.0,NONE,0,0,0,0,0,0,NO_TRADE,,NO_TRADE:OR_NOT_ESTABLISHED,
