Symbol,Close,R21,R63,R126,R252,RAM21,RAM63,RAM126,RAM252,Rank21,Rank63,Rank126,Rank252,MR21,MR63,MR126,MR252,POS_COUNT,FINAL_SCREEN_RANK,ELIGIBLE,INELIGIBLE_REASON,MISSING_DAYS,FIRST_DATE,LAST_DATE,N_ROWS,SUSPECT_CORP_ACTION,instrument_key,Vol21,TS21,TS21_POS,B21,Vol63,TS63,TS63_POS,B63,Vol126,TS126,TS126_POS,B126,Vol252,TS252,TS252_POS,B252,MARKET_OUTPERFORMER,STRONG_TREND,STRONG_XS_MOMENTUM,VERY_STRONG_MOMENTUM,CORE_QUALIFIER,FINAL_QUALIFIER,pct_MR252,pct_MR126,pct_RAM252,PROVISIONAL
TATACOMM,1780.10,0.072349,-0.104938,0.260694,0.124297,0.285955,-0.438348,0.764760,0.368668,91.68,22.87,72.35,70.06,0.095682,-0.091818,0.198284,0.135642,3.00,70.81,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE151A01013,0.253009,0.072349,True,-0.023332,0.239394,-0.104938,False,-0.013120,0.340883,0.260694,True,0.062410,0.337152,0.124297,True,-0.011345,True,True,True,False,True,False,70.06,72.35,69.23,0.00
TCS,2105.00,-0.080384,-0.009412,-0.126266,-0.326228,-0.285851,-0.028193,-0.379095,-1.148753,13.51,54.68,9.36,9.15,-0.057052,0.003708,-0.188676,-0.314882,0.00,8.90,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE467B01029,0.281211,-0.080384,False,-0.023332,0.333831,-0.009412,False,-0.013120,0.333072,-0.126266,False,0.062410,0.283984,-0.326228,False,-0.011345,False,False,False,False,False,False,9.15,9.36,7.48,0.00
TATACONSUM,996.00,-0.067416,-0.103914,-0.088496,-0.098887,-0.448913,-0.476802,-0.356705,-0.422018,19.13,23.49,14.76,39.71,-0.044084,-0.090794,-0.150907,-0.087542,0.00,28.77,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE192A01025,0.150176,-0.067416,False,-0.023332,0.217939,-0.103914,False,-0.013120,0.248094,-0.088496,False,0.062410,0.234320,-0.098887,False,-0.011345,False,False,False,False,False,False,39.71,14.76,34.93,0.00
TATAELXSI,3266.70,-0.107386,-0.196483,-0.222621,-0.432125,-0.455571,-0.644502,-0.683906,-1.370590,5.20,3.95,1.04,3.53,-0.084054,-0.183363,-0.285032,-0.420780,0.00,2.33,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE670A01012,0.235717,-0.107386,False,-0.023332,0.304859,-0.196483,False,-0.013120,0.325515,-0.222621,False,0.062410,0.315284,-0.432125,False,-0.011345,False,False,False,False,False,False,3.53,1.04,2.49,0.00
TATAINVEST,702.35,0.075739,0.016425,0.129907,0.023834,0.153621,0.048308,0.362567,0.052267,92.31,63.62,54.47,58.21,0.099071,0.029545,0.067496,0.035179,4.00,56.47,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE672A01026,0.493026,0.075739,True,-0.023332,0.340017,0.016425,True,-0.013120,0.358297,0.129907,True,0.062410,0.456001,0.023834,True,-0.011345,True,True,False,False,False,False,58.21,54.47,56.96,0.00
TMCV,,,,,,,,,,,,,,,,,,,,False,INSUFFICIENT_HISTORY,41,2025-11-12,2026-09-18,212,False,NSE_EQ|INE1TAE01010,,,,-0.023332,,,,-0.013120,,,,0.062410,,,,-0.011345,,,,,,,,,,0.00
TMPV,303.80,-0.054466,-0.154937,-0.033715,-0.569597,-0.213208,-0.630279,-0.098700,-1.124294,27.23,11.02,24.53,0.21,-0.031134,-0.141817,-0.096125,-0.558252,0.00,11.56,True,,0,2025-03-18,2026-09-18,373,True,NSE_EQ|INE155A01022,0.255460,-0.054466,False,-0.023332,0.245823,-0.154937,False,-0.013120,0.341591,-0.033715,False,0.062410,0.506627,-0.569597,False,-0.011345,False,False,False,False,False,False,0.21,24.53,8.32,0.00
TATAPOWER,374.80,-0.010821,-0.068473,-0.040328,-0.034270,-0.045068,-0.369497,-0.186805,-0.159674,61.33,36.80,23.70,49.90,0.012511,-0.055353,-0.102738,-0.022924,0.00,38.92,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE245A01021,0.240101,-0.010821,False,-0.023332,0.185313,-0.068473,False,-0.013120,0.215882,-0.040328,False,0.062410,0.214622,-0.034270,False,-0.011345,False,False,False,False,False,False,49.90,23.70,47.40,0.00
TATASTEEL,185.54,0.008370,-0.067451,-0.007489,0.095213,0.040829,-0.354571,-0.032546,0.367917,69.44,37.63,29.11,66.11,0.031702,-0.054331,-0.069899,0.106558,2.00,51.89,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE081A01020,0.204992,0.008370,True,-0.023332,0.190232,-0.067451,False,-0.013120,0.230109,-0.007489,False,0.062410,0.258788,0.095213,True,-0.011345,False,False,False,False,False,False,66.11,29.11,69.02,0.00
TATATECH,722.45,-0.110885,-0.026676,0.367888,0.028984,-0.371778,-0.064709,0.905508,0.087593,4.16,50.31,80.67,58.42,-0.087553,-0.013556,0.305477,0.040329,2.00,67.28,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE142M01025,0.298258,-0.110885,False,-0.023332,0.412240,-0.026676,False,-0.013120,0.406278,0.367888,True,0.062410,0.330900,0.028984,True,-0.011345,True,False,False,False,False,False,58.42,80.67,58.21,0.00
