Symbol,Close,R21,R63,R126,R252,RAM21,RAM63,RAM126,RAM252,Rank21,Rank63,Rank126,Rank252,MR21,MR63,MR126,MR252,POS_COUNT,FINAL_SCREEN_RANK
WELCORP,2660.10,0.347637,0.868835,2.342674,2.057410,0.426486,1.551152,4.935922,4.905553,100.00,100.00,100.00,100.00,0.370969,0.881955,2.280264,2.068756,4.00,100.00
ATHERENERG,1640.00,0.140314,0.687764,1.299495,2.026109,0.262281,1.279690,2.590320,4.151026,97.09,99.58,99.17,99.79,0.163646,0.700884,1.237085,2.037454,4.00,99.54
CPPLUS,3355.10,0.015620,-0.077712,1.112517,1.399242,0.036736,-0.185459,2.440643,3.204839,73.60,32.22,98.96,99.38,0.038952,-0.064592,1.050107,1.410587,3.00,99.21
LAURUSLABS,1954.00,0.084471,0.382971,1.033722,1.181778,0.302354,1.309396,3.472203,3.956292,93.35,98.13,98.54,98.75,0.107803,0.396091,0.971311,1.193123,4.00,98.84
APARINDS,18858.00,0.134998,0.158354,1.067990,1.226052,0.296279,0.319878,2.291842,2.642635,96.88,88.57,98.75,98.96,0.158331,0.171474,1.005579,1.237397,4.00,98.71
SYRMA,1728.90,0.156610,0.296027,1.375515,1.070043,0.258529,0.617971,2.986936,2.398111,97.71,96.05,99.79,98.34,0.179942,0.309147,1.313105,1.081388,4.00,98.71
AEGISLOG,1415.40,0.037683,0.404445,1.342990,0.979996,0.071494,0.673550,2.443077,2.056398,82.74,98.75,99.38,97.92,0.061015,0.417565,1.280579,0.991341,4.00,98.13
RRKABEL,2450.80,-0.154547,0.055879,0.789297,0.973269,-0.361995,0.132345,1.735204,2.497945,1.25,71.31,96.88,97.71,-0.131215,0.068999,0.726886,0.984614,3.00,97.38
BHEL,439.90,0.047880,0.061663,0.735306,0.920290,0.132581,0.181161,1.944347,2.519366,86.07,73.18,96.26,97.51,0.071212,0.074783,0.672895,0.931635,4.00,97.09
ACUTAAS,3440.30,0.065471,0.059793,0.589053,1.335891,0.160573,0.135080,1.201460,2.954738,89.81,72.56,93.35,99.17,0.088803,0.072913,0.526643,1.347236,4.00,96.80
SONACOMS,808.00,-0.018822,0.316390,0.651676,0.836572,-0.066296,1.060282,2.025230,2.678315,55.93,96.88,94.80,96.67,0.004510,0.329510,0.589266,0.847917,3.00,96.30
WELSPUNLIV,214.66,0.184396,0.323183,0.961440,0.745203,0.609317,0.861134,2.384822,1.638130,98.75,97.51,98.34,95.84,0.207729,0.336303,0.899030,0.756548,4.00,96.26
SAILIFE,1600.50,0.125369,0.315768,0.639017,0.842302,0.321278,0.982432,2.027690,2.477017,96.47,96.67,94.39,96.88,0.148701,0.328888,0.576606,0.853647,4.00,96.01
KIRLOSENG,2160.10,0.038560,0.084660,0.469256,1.449232,0.087182,0.146112,0.892719,3.083910,83.16,77.34,88.36,99.58,0.061892,0.097780,0.406845,1.460577,4.00,95.01
HONASA,479.55,0.006190,0.148898,0.803498,0.596903,0.019739,0.491291,2.450073,1.889702,68.40,87.53,97.09,92.52,0.029522,0.162018,0.741087,0.608248,4.00,94.89
FINCABLES,1411.20,0.074218,0.212059,0.670059,0.672831,0.133825,0.404868,1.280775,1.563216,92.10,92.10,95.43,95.01,0.097550,0.225179,0.607649,0.684176,4.00,94.59
CRAFTSMAN,11138.00,0.033306,0.135777,0.639750,0.643379,0.104677,0.441866,1.782875,1.795353,81.08,85.45,94.59,94.18,0.056638,0.148897,0.577339,0.654724,4.00,94.43
CEMPRO,1263.50,-0.001738,0.009185,1.373439,0.606382,-0.005423,0.022015,2.180013,1.147769,64.86,61.12,99.58,93.14,0.021594,0.022305,1.311028,0.617727,3.00,94.43
GRANULES,875.50,0.040837,0.112594,0.544092,0.664132,0.120046,0.391012,1.876008,2.265478,83.78,82.12,92.52,94.80,0.064169,0.125714,0.481681,0.675477,4.00,94.26
REDINGTON,399.85,0.193404,0.424170,0.716094,0.651522,0.505390,1.011617,1.706594,1.289327,98.96,99.17,96.05,94.39,0.216736,0.437290,0.653684,0.662867,4.00,93.80
GLAND,2961.90,0.042445,0.346930,0.840604,0.506715,0.176786,0.987821,2.121941,1.530752,84.20,97.71,97.71,89.60,0.065777,0.360050,0.778194,0.518060,4.00,93.31
RADICO,4535.40,-0.034199,0.203279,0.604089,0.576434,-0.140964,0.835130,1.987791,1.752656,44.70,91.68,93.97,91.89,-0.010867,0.216399,0.541678,0.587779,3.00,93.10
DIVISLAB,9375.00,0.095210,0.390331,0.544227,0.558474,0.343316,1.416038,2.246307,2.315061,94.80,98.34,92.72,91.27,0.118542,0.403451,0.481816,0.569819,4.00,92.97
PAYTM,1849.90,0.168235,0.697000,0.824719,0.511356,0.359125,1.649188,1.858460,1.302624,98.34,99.79,97.51,90.02,0.191567,0.710120,0.762308,0.522701,4.00,92.68
NEULANDLAB,22840.00,-0.019322,0.316806,0.867539,0.468433,-0.062207,0.857701,2.305838,1.196066,54.89,97.09,98.13,88.77,0.004011,0.329926,0.805128,0.479778,3.00,92.18
VIJAYA,1558.90,0.046242,0.142721,0.661232,0.480718,0.144850,0.423797,1.783778,1.506882,85.45,86.69,95.01,89.19,0.069574,0.155841,0.598821,0.492063,4.00,91.93
