date,open,high,low,close,volume,instrument_key
2025-03-18,1499.0,1537.0,1472.9,1527.1,435554.0,NSE_EQ|INE200A01026
2025-03-19,1538.35,1538.35,1478.2,1506.25,271832.0,NSE_EQ|INE200A01026
2025-03-20,1514.45,1565.0,1473.0,1545.35,471555.0,NSE_EQ|INE200A01026
2025-03-21,1552.95,1622.6,1526.95,1622.05,987472.0,NSE_EQ|INE200A01026
2025-03-24,1638.95,1644.8,1571.45,1593.8,255980.0,NSE_EQ|INE200A01026
2025-03-25,1593.8,1626.0,1557.8,1594.0,397082.0,NSE_EQ|INE200A01026
2025-03-26,1600.0,1612.15,1517.55,1540.05,236606.0,NSE_EQ|INE200A01026
2025-03-27,1520.0,1617.05,1514.45,1606.85,1014261.0,NSE_EQ|INE200A01026
2025-03-28,1606.85,1624.7,1531.5,1558.75,461180.0,NSE_EQ|INE200A01026
2025-04-01,1569.8,1587.55,1480.85,1480.85,370105.0,NSE_EQ|INE200A01026
2025-04-02,1480.85,1508.0,1456.0,1496.1,218768.0,NSE_EQ|INE200A01026
2025-04-03,1480.0,1485.3,1422.4,1461.35,425204.0,NSE_EQ|INE200A01026
2025-04-04,1465.0,1482.0,1390.0,1402.5,225260.0,NSE_EQ|INE200A01026
2025-04-07,1272.0,1343.05,1271.7,1295.55,492681.0,NSE_EQ|INE200A01026
2025-04-08,1312.0,1329.65,1279.3,1304.35,1064151.0,NSE_EQ|INE200A01026
2025-04-09,1308.5,1308.5,1254.0,1296.95,293855.0,NSE_EQ|INE200A01026
2025-04-11,1314.8,1355.0,1308.0,1333.45,474352.0,NSE_EQ|INE200A01026
2025-04-15,1371.7,1404.9,1345.6,1391.0,450016.0,NSE_EQ|INE200A01026
2025-04-16,1391.0,1469.7,1359.1,1461.5,369010.0,NSE_EQ|INE200A01026
2025-04-17,1430.0,1458.8,1389.9,1443.3,440069.0,NSE_EQ|INE200A01026
2025-04-21,1444.0,1521.0,1444.0,1496.2,303232.0,NSE_EQ|INE200A01026
2025-04-22,1500.0,1520.0,1480.7,1502.2,213160.0,NSE_EQ|INE200A01026
2025-04-23,1501.0,1550.0,1492.2,1521.0,127065.0,NSE_EQ|INE200A01026
2025-04-24,1504.6,1532.6,1493.0,1509.6,352193.0,NSE_EQ|INE200A01026
2025-04-25,1500.0,1518.8,1437.1,1479.4,294701.0,NSE_EQ|INE200A01026
2025-04-28,1489.0,1543.4,1465.8,1535.2,401788.0,NSE_EQ|INE200A01026
2025-04-29,1549.0,1572.0,1534.2,1558.2,489155.0,NSE_EQ|INE200A01026
2025-04-30,1546.0,1610.0,1540.2,1566.1,440321.0,NSE_EQ|INE200A01026
2025-05-02,1595.5,1595.6,1535.0,1566.6,148161.0,NSE_EQ|INE200A01026
2025-05-05,1594.0,1611.0,1533.2,1602.9,260685.0,NSE_EQ|INE200A01026
2025-05-06,1610.0,1610.0,1519.0,1540.7,227637.0,NSE_EQ|INE200A01026
2025-05-07,1500.0,1649.0,1500.0,1621.8,485028.0,NSE_EQ|INE200A01026
2025-05-08,1635.0,1646.0,1580.0,1633.9,347219.0,NSE_EQ|INE200A01026
2025-05-09,1600.0,1663.9,1562.1,1653.0,210056.0,NSE_EQ|INE200A01026
2025-05-12,1682.0,1709.9,1652.0,1682.6,594554.0,NSE_EQ|INE200A01026
2025-05-13,1710.0,1714.5,1680.0,1696.4,411455.0,NSE_EQ|INE200A01026
2025-05-14,1720.0,1784.0,1691.1,1770.4,492975.0,NSE_EQ|INE200A01026
2025-05-15,1775.0,1854.0,1730.2,1841.9,926872.0,NSE_EQ|INE200A01026
2025-05-16,1860.0,1888.8,1825.2,1861.4,667710.0,NSE_EQ|INE200A01026
2025-05-19,1888.0,1898.1,1834.2,1841.3,294811.0,NSE_EQ|INE200A01026
2025-05-20,1869.8,1869.8,1755.0,1794.3,371883.0,NSE_EQ|INE200A01026
2025-05-21,1807.0,1854.8,1770.6,1844.6,236599.0,NSE_EQ|INE200A01026
2025-05-22,1830.0,1872.0,1805.1,1853.1,295645.0,NSE_EQ|INE200A01026
2025-05-23,1872.0,1920.0,1855.5,1885.1,449914.0,NSE_EQ|INE200A01026
2025-05-26,2050.0,2073.6,2034.8,2073.6,714285.0,NSE_EQ|INE200A01026
2025-05-27,2094.6,2257.8,2080.0,2210.5,2414143.0,NSE_EQ|INE200A01026
2025-05-28,2230.5,2281.7,2190.0,2223.6,865197.0,NSE_EQ|INE200A01026
2025-05-29,2250.0,2334.7,2230.0,2288.6,1307368.0,NSE_EQ|INE200A01026
2025-05-30,2296.0,2310.0,2195.4,2241.4,1659999.0,NSE_EQ|INE200A01026
2025-06-02,2252.6,2353.4,2244.0,2299.4,1033694.0,NSE_EQ|INE200A01026
2025-06-03,2319.8,2373.0,2293.2,2340.1,393716.0,NSE_EQ|INE200A01026
2025-06-04,2389.0,2422.0,2319.1,2359.7,600743.0,NSE_EQ|INE200A01026
2025-06-05,2373.8,2449.0,2350.0,2422.0,715591.0,NSE_EQ|INE200A01026
2025-06-06,2445.0,2464.0,2300.9,2315.7,518153.0,NSE_EQ|INE200A01026
2025-06-09,2316.0,2339.0,2268.9,2302.8,542249.0,NSE_EQ|INE200A01026
2025-06-10,2325.9,2354.0,2290.0,2300.1,228775.0,NSE_EQ|INE200A01026
2025-06-11,2316.3,2415.1,2311.5,2374.7,475989.0,NSE_EQ|INE200A01026
2025-06-12,2387.0,2409.9,2287.0,2308.6,241685.0,NSE_EQ|INE200A01026
2025-06-13,2225.0,2365.9,2204.0,2322.5,278383.0,NSE_EQ|INE200A01026
2025-06-16,2344.4,2344.4,2241.8,2298.8,183935.0,NSE_EQ|INE200A01026
2025-06-17,2317.2,2338.7,2289.3,2300.0,227001.0,NSE_EQ|INE200A01026
2025-06-18,2311.5,2398.8,2308.7,2373.9,295882.0,NSE_EQ|INE200A01026
2025-06-19,2388.8,2447.4,2310.0,2354.8,270930.0,NSE_EQ|INE200A01026
