date,open,high,low,close,volume,instrument_key
2025-03-18,2732.3,2798.0,2715.05,2791.4,3522624.0,NSE_EQ|INE101A01026
2025-03-19,2795.0,2831.9,2779.55,2789.1,2438912.0,NSE_EQ|INE101A01026
2025-03-20,2803.75,2847.0,2801.0,2828.1,2354374.0,NSE_EQ|INE101A01026
2025-03-21,2839.1,2893.0,2781.25,2801.85,3824316.0,NSE_EQ|INE101A01026
2025-03-24,2815.3,2822.15,2709.4,2774.7,5395134.0,NSE_EQ|INE101A01026
2025-03-25,2774.7,2802.45,2725.05,2736.0,3576766.0,NSE_EQ|INE101A01026
2025-03-26,2751.3,2795.0,2737.05,2742.25,3111504.0,NSE_EQ|INE101A01026
2025-03-27,2735.0,2751.0,2695.55,2733.0,4325599.0,NSE_EQ|INE101A01026
2025-03-28,2735.8,2739.7,2635.0,2665.8,6074446.0,NSE_EQ|INE101A01026
2025-04-01,2652.8,2728.0,2623.15,2637.9,3300417.0,NSE_EQ|INE101A01026
2025-04-02,2631.1,2660.0,2625.3,2637.55,2243574.0,NSE_EQ|INE101A01026
2025-04-03,2607.75,2652.4,2600.25,2611.45,2361203.0,NSE_EQ|INE101A01026
2025-04-04,2614.95,2631.5,2557.05,2596.55,3598415.0,NSE_EQ|INE101A01026
2025-04-07,2425.0,2524.65,2425.0,2491.25,3937471.0,NSE_EQ|INE101A01026
2025-04-08,2510.0,2550.0,2454.0,2523.65,4253527.0,NSE_EQ|INE101A01026
2025-04-09,2540.0,2571.95,2515.95,2523.1,3347213.0,NSE_EQ|INE101A01026
2025-04-11,2549.0,2604.0,2532.05,2580.35,3600209.0,NSE_EQ|INE101A01026
2025-04-15,2606.0,2690.0,2606.0,2646.0,3287861.0,NSE_EQ|INE101A01026
2025-04-16,2660.0,2665.0,2618.3,2634.6,3070954.0,NSE_EQ|INE101A01026
2025-04-17,2632.0,2682.8,2602.4,2679.4,2638979.0,NSE_EQ|INE101A01026
2025-04-21,2699.9,2774.0,2665.9,2764.0,3120955.0,NSE_EQ|INE101A01026
2025-04-22,2765.0,2822.0,2756.0,2817.1,3193757.0,NSE_EQ|INE101A01026
2025-04-23,2830.0,2923.0,2826.0,2917.8,3906215.0,NSE_EQ|INE101A01026
2025-04-24,2917.8,2928.0,2865.0,2901.4,2488496.0,NSE_EQ|INE101A01026
2025-04-25,2901.4,2939.6,2831.1,2864.2,2299310.0,NSE_EQ|INE101A01026
2025-04-28,2918.9,2945.0,2882.3,2930.6,1864672.0,NSE_EQ|INE101A01026
2025-04-29,2950.0,2969.5,2901.8,2909.6,2051228.0,NSE_EQ|INE101A01026
2025-04-30,2908.8,2948.9,2887.0,2928.8,2689753.0,NSE_EQ|INE101A01026
2025-05-02,2950.0,3000.0,2910.2,2926.2,3384402.0,NSE_EQ|INE101A01026
2025-05-05,2948.9,3044.0,2937.7,3021.5,4049197.0,NSE_EQ|INE101A01026
2025-05-06,3150.6,3159.7,3056.0,3068.4,5683215.0,NSE_EQ|INE101A01026
2025-05-07,3021.9,3125.0,3021.9,3119.9,2942902.0,NSE_EQ|INE101A01026
2025-05-08,3127.4,3137.0,3008.5,3033.1,3323894.0,NSE_EQ|INE101A01026
2025-05-09,2961.6,3057.1,2955.0,2982.1,2308852.0,NSE_EQ|INE101A01026
2025-05-12,3044.7,3112.2,3033.7,3104.7,2166730.0,NSE_EQ|INE101A01026
2025-05-13,3050.0,3111.0,3035.0,3053.8,2681662.0,NSE_EQ|INE101A01026
2025-05-14,3037.5,3110.0,3018.0,3101.8,2236302.0,NSE_EQ|INE101A01026
2025-05-15,3085.0,3170.7,3073.0,3144.3,3590003.0,NSE_EQ|INE101A01026
2025-05-16,3135.0,3149.5,3115.0,3135.6,2269659.0,NSE_EQ|INE101A01026
2025-05-19,3115.0,3157.0,3103.6,3128.0,2011149.0,NSE_EQ|INE101A01026
2025-05-20,3128.2,3135.3,3049.1,3063.5,2667772.0,NSE_EQ|INE101A01026
2025-05-21,3063.0,3132.0,3048.1,3090.7,1395136.0,NSE_EQ|INE101A01026
2025-05-22,3076.6,3089.8,2980.5,3006.3,3870830.0,NSE_EQ|INE101A01026
2025-05-23,3020.0,3030.8,2984.2,3012.7,1828093.0,NSE_EQ|INE101A01026
2025-05-26,3038.0,3101.0,3027.7,3080.2,2164190.0,NSE_EQ|INE101A01026
2025-05-27,3080.2,3085.0,3014.6,3039.8,2599143.0,NSE_EQ|INE101A01026
2025-05-28,3039.7,3044.8,2993.0,2997.8,1491995.0,NSE_EQ|INE101A01026
