schema_version,snapshot_id,capture_timestamp,source_timestamp,expiry,spot,current_atm,session_anchor_atm,range_low,range_high,rows_captured,source_is_stale,nifty_futures,futures_vwap,india_vix,range_ce_oi,range_pe_oi,range_oi_pcr,range_ce_exchange_change_oi,range_pe_exchange_change_oi,range_exchange_change_oi_pcr,range_ce_interval_oi_change,range_pe_interval_oi_change,range_ce_interval_volume,range_pe_interval_volume,max_ce_oi_strike,max_ce_oi,max_pe_oi_strike,max_pe_oi,max_ce_interval_add_strike,max_ce_interval_add,max_pe_interval_add_strike,max_pe_interval_add,atm_ce_ltp,atm_pe_ltp,atm_straddle_ltp,atm_ce_bid,atm_ce_ask,atm_pe_bid,atm_pe_ask,atm_straddle_bid,atm_straddle_ask,atm_straddle_mid,atm_ce_iv,atm_pe_iv,atm_quotes_executable,true_futures_context_available,trade_ready_data,quality_notes
2.1.0,20260828_111310_089,2026-08-28T11:13:10+05:30,2026-08-28T11:13:10+05:30,2026-09-01,24158.7,24150,24150,23550,24750,25,False,,,10.72,2120320.0,2120232.0,1.0,553926.0,1078845.0,1.9476,0.0,0.0,9475.0,12641.0,24300,264193.0,24200,281680.0,,,,,144.3,56.25,200.55,144.15,144.5,56.45,56.6,200.6,201.1,200.85,12.3,6.95,True,False,True,true one-minute NIFTY futures OHLCV/VWAP unavailable; scheduled-event status not supplied
2.1.0,20260828_111402_999,2026-08-28T11:14:02+05:30,2026-08-28T11:14:02+05:30,2026-09-01,24159.45,24150,24150,23550,24750,25,False,,,10.74,2124409.0,2111494.0,0.9939,558015.0,1070107.0,1.9177,4089.0,-8738.0,79111.0,90245.0,24300,265081.0,24200,279497.0,24400,1351.0,23900,1831.0,145.9,55.8,201.7,145.35,145.7,56.05,56.2,201.4,201.9,201.65,12.29,7.04,True,False,True,true one-minute NIFTY futures OHLCV/VWAP unavailable; scheduled-event status not supplied
2.1.0,20260828_111503_000,2026-08-28T11:15:03+05:30,2026-08-28T11:15:03+05:30,2026-09-01,24162.0,24150,24150,23550,24750,25,False,,,10.76,2105393.0,2110385.0,1.0024,538999.0,1068998.0,1.9833,-19016.0,-1109.0,132439.0,154716.0,24300,261389.0,24200,279476.0,24750,155.0,24000,1279.0,148.05,54.5,202.55,147.75,148.05,54.35,54.5,202.1,202.55,202.325,12.36,6.99,True,False,True,true one-minute NIFTY futures OHLCV/VWAP unavailable; scheduled-event status not supplied
2.1.0,20260828_111603_000,2026-08-28T11:16:03+05:30,2026-08-28T11:16:03+05:30,2026-09-01,24160.85,24150,24150,23550,24750,25,False,,,10.77,2109280.0,2110547.0,1.0006,542886.0,1069160.0,1.9694,3887.0,162.0,51717.0,70801.0,24300,261191.0,24200,280376.0,24250,1423.0,24100,1771.0,146.05,55.7,201.75,145.8,146.15,55.75,55.9,201.55,202.05,201.8,12.31,7.06,True,False,True,true one-minute NIFTY futures OHLCV/VWAP unavailable; scheduled-event status not supplied
2.1.0,20260828_111703_000,2026-08-28T11:17:03+05:30,2026-08-28T11:17:03+05:30,2026-09-01,24159.2,24150,24150,23550,24750,25,False,,,10.74,2109223.0,2116738.0,1.0036,542829.0,1075351.0,1.981,-57.0,6191.0,70354.0,115271.0,24300,260831.0,24200,282408.0,24250,807.0,24150,2697.0,144.35,56.85,201.2,144.5,144.8,56.5,56.65,201.0,201.45,201.225,12.21,7.12,True,False,True,true one-minute NIFTY futures OHLCV/VWAP unavailable; scheduled-event status not supplied
2.1.0,20260828_111803_000,2026-08-28T11:18:03+05:30,2026-08-28T11:18:03+05:30,2026-09-01,24153.75,24150,24150,23550,24750,25,False,,,10.75,2113820.0,2118138.0,1.002,547426.0,1076751.0,1.9669,4597.0,1400.0,61619.0,88654.0,24300,261651.0,24200,284721.0,24200,1259.0,24200,2313.0,141.2,58.4,199.6,139.75,140.0,59.3,59.45,199.05,199.45,199.25,12.08,7.13,True,False,True,true one-minute NIFTY futures OHLCV/VWAP unavailable; scheduled-event status not supplied
2.1.0,20260828_111903_000,2026-08-28T11:19:03+05:30,2026-08-28T11:19:03+05:30,2026-09-01,24149.45,24150,24150,23550,24750,25,False,,,10.75,2119344.0,2110686.0,0.9959,552950.0,1069299.0,1.9338,5524.0,-7452.0,68762.0,120390.0,24300,262141.0,24200,282330.0,24200,1163.0,23750,168.0,138.45,60.7,199.15,137.9,138.25,60.8,60.95,198.7,199.2,198.95,12.12,7.1,True,False,True,true one-minute NIFTY futures OHLCV/VWAP unavailable; scheduled-event status not supplied
2.1.0,20260828_112003_000,2026-08-28T11:20:03+05:30,2026-08-28T11:20:03+05:30,2026-09-01,24151.65,24150,24150,23550,24750,25,False,,,10.76,2127455.0,2103152.0,0.9886,561061.0,1061765.0,1.8924,8111.0,-7534.0,47276.0,67600.0,24300,264570.0,24200,281327.0,24300,2429.0,23550,618.0,137.35,61.1,198.45,137.15,137.35,61.05,61.25,198.2,198.6,198.4,11.96,7.18,True,False,True,true one-minute NIFTY futures OHLCV/VWAP unavailable; scheduled-event status not supplied
2.1.0,20260828_112103_000,2026-08-28T11:21:03+05:30,2026-08-28T11:21:03+05:30,2026-09-01,24147.0,24150,24150,23550,24750,25,False,,,10.77,2137085.0,2102218.0,0.9837,570691.0,1060831.0,1.8589,9630.0,-934.0,55113.0,73773.0,24300,266151.0,24200,281815.0,24200,2395.0,24000,556.0,135.0,62.5,197.5,135.0,135.2,62.5,62.7,197.5,197.9,197.7,11.9,7.17,True,False,True,true one-minute NIFTY futures OHLCV/VWAP unavailable; scheduled-event status not supplied
2.1.0,20260828_112203_000,2026-08-28T11:22:03+05:30,2026-08-28T11:22:03+05:30,2026-09-01,24144.45,24150,24150,23550,24750,25,False,,,10.81,2140128.0,2089003.0,0.9761,573734.0,1047616.0,1.826,3043.0,-13215.0,94485.0,152437.0,24300,267121.0,24200,278212.0,24150,1374.0,23900,519.0,132.35,64.15,196.5,132.4,132.75,64.15,64.3,196.55,197.05,196.8,11.8,7.22,True,False,True,true one-minute NIFTY futures OHLCV/VWAP unavailable; scheduled-event status not supplied
2.1.0,20260828_112303_000,2026-08-28T11:23:03+05:30,2026-08-28T11:23:03+05:30,2026-09-01,24143.85,24150,24150,23550,24750,25,False,,,10.82,2146315.0,2069563.0,0.9642,579921.0,1028176.0,1.773,6187.0,-19440.0,100226.0,157936.0,24300,267865.0,24200,273249.0,24100,1753.0,23750,792.0,134.25,62.85,197.1,134.1,134.25,62.6,62.7,196.7,196.95,196.825,12.05,7.02,True,False,True,true one-minute NIFTY futures OHLCV/VWAP unavailable; scheduled-event status not supplied
