schema_version,snapshot_id,capture_timestamp,source_timestamp,timezone,source,underlying,expiry,lot_size,chain_hash,source_age_seconds,source_is_stale,spot,nifty_index_last,nifty_day_open,nifty_day_high,nifty_day_low,nifty_previous_close,india_vix,current_atm,session_anchor_atm,strike,strike_distance_from_spot,moneyness,interval_seconds,ce_interval_seconds,pe_interval_seconds,ce_identifier,ce_oi,ce_exchange_change_oi,ce_exchange_pchange_oi,ce_interval_oi_change,ce_volume_cumulative,ce_interval_volume,ce_volume_counter_reset,ce_ltp,ce_price_change,ce_price_pchange,ce_iv,ce_iv_valid,ce_bid,ce_bid_qty,ce_ask,ce_ask_qty,ce_total_buy_qty,ce_total_sell_qty,ce_mid,ce_spread,ce_spread_pct,ce_intrinsic,ce_extrinsic_ltp,pe_identifier,pe_oi,pe_exchange_change_oi,pe_exchange_pchange_oi,pe_interval_oi_change,pe_volume_cumulative,pe_interval_volume,pe_volume_counter_reset,pe_ltp,pe_price_change,pe_price_pchange,pe_iv,pe_iv_valid,pe_bid,pe_bid_qty,pe_ask,pe_ask_qty,pe_total_buy_qty,pe_total_sell_qty,pe_mid,pe_spread,pe_spread_pct,pe_intrinsic,pe_extrinsic_ltp,strike_oi_pcr,exchange_change_oi_ce_minus_pe
2.1.0,20260828_151103_000,2026-08-28T15:11:03+05:30,2026-08-28T15:11:03+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,5adbcd5a084c18f0,0.0,False,24127.95,24127.75,24122.6,24188.3,24076.85,24090.85,10.82,24150,24150,23900,-227.95,BELOW_SPOT,,60.0,60.0,NSE_FO|46981,6510,2910,,24,88455,493,False,314.35,0.6,0.1912,15.64,True,313.45,195,314.3,260,,,313.875,0.85,0.0027,227.95,86.4,NSE_FO|46982,104594,36611,,324,1759372,5245,False,14.55,-4.7,-24.4156,8.88,True,14.55,2405,14.6,7605,,,14.575,0.05,0.0034,0.0,14.55,16.0667,-33701
2.1.0,20260828_151103_000,2026-08-28T15:11:03+05:30,2026-08-28T15:11:03+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,5adbcd5a084c18f0,0.0,False,24127.95,24127.75,24122.6,24188.3,24076.85,24090.85,10.82,24150,24150,23950,-177.95,BELOW_SPOT,,60.0,60.0,NSE_FO|46983,3353,1178,,-170,75267,420,False,270.0,0.75,0.2786,14.59,True,270.05,130,270.4,195,,,270.225,0.35,0.0013,177.95,92.05,NSE_FO|46984,58788,26970,,-1113,1492961,5483,False,19.95,-5.6,-21.9178,8.54,True,19.95,5525,20.05,5005,,,20.0,0.1,0.005,0.0,19.95,17.533,-25792
2.1.0,20260828_151103_000,2026-08-28T15:11:03+05:30,2026-08-28T15:11:03+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,5adbcd5a084c18f0,0.0,False,24127.95,24127.75,24122.6,24188.3,24076.85,24090.85,10.82,24150,24150,24000,-127.95,BELOW_SPOT,,60.0,60.0,NSE_FO|46985,37120,11063,,-313,689923,2723,False,228.25,0.5,0.2195,13.73,True,227.65,455,228.0,65,,,227.825,0.35,0.0015,127.95,100.3,NSE_FO|46986,201035,91717,,-1546,3992768,13677,False,27.9,-7.2,-20.5128,8.19,True,27.9,1885,27.95,1625,,,27.925,0.05,0.0018,0.0,27.9,5.4158,-80654
2.1.0,20260828_151103_000,2026-08-28T15:11:03+05:30,2026-08-28T15:11:03+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,5adbcd5a084c18f0,0.0,False,24127.95,24127.75,24122.6,24188.3,24076.85,24090.85,10.82,24150,24150,24050,-77.95,BELOW_SPOT,,60.0,60.0,NSE_FO|46987,22172,11749,,-62,628193,2493,False,188.0,-3.3,-1.725,12.92,True,187.95,520,188.4,260,,,188.175,0.45,0.0024,77.95,110.05,NSE_FO|46988,105248,68302,,-877,2965857,8442,False,37.7,-8.95,-19.1854,7.81,True,37.85,715,37.95,1105,,,37.9,0.1,0.0026,0.0,37.7,4.7469,-56553
2.1.0,20260828_151103_000,2026-08-28T15:11:03+05:30,2026-08-28T15:11:03+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,5adbcd5a084c18f0,0.0,False,24127.95,24127.75,24122.6,24188.3,24076.85,24090.85,10.82,24150,24150,24100,-27.95,BELOW_SPOT,,60.0,60.0,NSE_FO|46989,137879,91394,,-1380,3241747,14342,False,151.4,-3.85,-2.4799,12.21,True,151.15,455,151.5,130,,,151.325,0.35,0.0023,27.95,123.45,NSE_FO|46990,239351,155168,,453,6925517,30164,False,52.25,-9.9,-15.9292,7.46,True,52.3,390,52.35,520,,,52.325,0.05,0.001,0.0,52.25,1.7359,-63774
2.1.0,20260828_151103_000,2026-08-28T15:11:03+05:30,2026-08-28T15:11:03+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,5adbcd5a084c18f0,0.0,False,24127.95,24127.75,24122.6,24188.3,24076.85,24090.85,10.82,24150,24150,24150,22.05,ATM,,60.0,60.0,NSE_FO|46991,143412,83175,,-3318,3563626,17728,False,120.0,-6.85,-5.4001,11.69,True,119.65,195,119.8,2665,,,119.725,0.15,0.0013,0.0,120.0,NSE_FO|46992,132296,78046,,-1581,5311272,15462,False,69.35,-9.6,-12.1596,7.03,True,69.6,1365,69.7,325,,,69.65,0.1,0.0014,22.05,47.3,0.9225,5129
2.1.0,20260828_151103_000,2026-08-28T15:11:03+05:30,2026-08-28T15:11:03+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,5adbcd5a084c18f0,0.0,False,24127.95,24127.75,24122.6,24188.3,24076.85,24090.85,10.82,24150,24150,24200,72.05,ABOVE_SPOT,,60.0,60.0,NSE_FO|46993,255608,101920,,-1478,4797964,21985,False,92.0,-6.75,-6.8354,11.26,True,91.7,585,91.9,1690,,,91.8,0.2,0.0022,0.0,92.0,NSE_FO|46994,157926,56748,,-231,4411421,12417,False,91.75,-11.05,-10.749,6.45,True,91.8,520,92.0,780,,,91.9,0.2,0.0022,72.05,19.7,0.6178,45172
2.1.0,20260828_151103_000,2026-08-28T15:11:03+05:30,2026-08-28T15:11:03+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,5adbcd5a084c18f0,0.0,False,24127.95,24127.75,24122.6,24188.3,24076.85,24090.85,10.82,24150,24150,24250,122.05,ABOVE_SPOT,,60.0,60.0,NSE_FO|46995,152774,63762,,-1248,2565986,13992,False,69.35,-7.55,-9.8179,10.97,True,69.05,1170,69.25,2015,,,69.15,0.2,0.0029,0.0,69.35,NSE_FO|46996,52879,12349,,697,1371067,4202,False,119.3,-9.55,-7.4117,5.71,True,119.1,195,119.3,390,,,119.2,0.2,0.0017,122.05,-2.75,0.3461,51413
2.1.0,20260828_151103_000,2026-08-28T15:11:03+05:30,2026-08-28T15:11:03+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,5adbcd5a084c18f0,0.0,False,24127.95,24127.75,24122.6,24188.3,24076.85,24090.85,10.82,24150,24150,24300,172.05,ABOVE_SPOT,,60.0,60.0,NSE_FO|46997,281240,77910,,-4596,3351249,18022,False,50.8,-7.15,-12.3382,10.73,True,50.8,3965,50.9,390,,,50.85,0.1,0.002,0.0,50.8,NSE_FO|46998,69094,-6946,,-441,1447121,3536,False,149.95,-12.4,-7.6378,4.06,True,150.1,1040,150.4,65,,,150.25,0.3,0.002,172.05,-22.1,0.2457,84856
2.1.0,20260828_151103_000,2026-08-28T15:11:03+05:30,2026-08-28T15:11:03+05:30,Asia/Kolkata,UPSTOX,NIFTY,2026-09-01,65,5adbcd5a084c18f0,0.0,False,24127.95,24127.75,24122.6,24188.3,24076.85,24090.85,10.82,24150,24150,24350,222.05,ABOVE_SPOT,,60.0,60.0,NSE_FO|46999,164585,41270,,5,1748163,8448,False,36.5,-7.05,-16.1883,10.59,True,36.35,3510,36.45,650,,,36.4,0.1,0.0027,0.0,36.5,NSE_FO|47000,23909,-1631,,-133,322472,998,False,186.6,-8.4,-4.3077,0.0,False,186.35,325,186.75,455,,,186.55,0.4,0.0021,222.05,-35.45,0.1453,42901
