schema_version,capture_timestamp,spot,india_vix,nifty_index_last,index_day_high,index_day_low
2.1.0,2026-08-28T11:46:40+05:30,24102.25,10.87,24102.25,24188.3,24092.85
2.1.0,2026-08-28T11:47:19+05:30,24103.7,10.85,24103.7,24188.3,24092.85
2.1.0,2026-08-28T11:47:40+05:30,24103.55,10.83,24103.55,24188.3,24092.85
2.1.0,2026-08-28T11:48:20+05:30,24101.4,10.84,24101.4,24188.3,24092.85
2.1.0,2026-08-28T11:48:40+05:30,24104.55,10.82,24104.55,24188.3,24092.85
2.1.0,2026-08-28T11:49:20+05:30,24102.4,10.84,24102.4,24188.3,24092.85
2.1.0,2026-08-28T11:49:40+05:30,24102.45,10.84,24102.45,24188.3,24092.85
2.1.0,2026-08-28T11:50:20+05:30,24106.5,10.84,24106.5,24188.3,24092.85
2.1.0,2026-08-28T11:50:40+05:30,24105.2,10.87,24105.2,24188.3,24092.85
2.1.0,2026-08-28T11:51:20+05:30,24105.25,10.93,24105.25,24188.3,24092.85
2.1.0,2026-08-28T11:51:40+05:30,24106.6,10.9,24106.6,24188.3,24092.85
2.1.0,2026-08-28T11:52:20+05:30,24105.2,10.94,24105.2,24188.3,24092.85
2.1.0,2026-08-28T11:52:40+05:30,24104.65,10.96,24104.65,24188.3,24092.85
2.1.0,2026-08-28T11:53:20+05:30,24102.45,10.93,24102.45,24188.3,24092.85
2.1.0,2026-08-28T11:53:39+05:30,24100.3,10.96,24100.3,24188.3,24092.85
2.1.0,2026-08-28T11:54:20+05:30,24099.5,10.95,24099.5,24188.3,24092.85
2.1.0,2026-08-28T11:54:40+05:30,24100.9,10.96,24100.9,24188.3,24092.85
2.1.0,2026-08-28T11:55:20+05:30,24097.1,10.97,24097.1,24188.3,24092.85
2.1.0,2026-08-28T11:55:40+05:30,24096.5,10.98,24096.5,24188.3,24092.85
2.1.0,2026-08-28T11:56:20+05:30,24095.2,10.99,24095.2,24188.3,24092.85
2.1.0,2026-08-28T11:56:40+05:30,24091.75,11.03,24091.75,24188.3,24090.65
2.1.0,2026-08-28T11:57:20+05:30,24079.7,11.11,24079.7,24188.3,24079.05
2.1.0,2026-08-28T11:57:39+05:30,24078.35,11.09,24078.35,24188.3,24077.5
2.1.0,2026-08-28T11:58:40+05:30,24082.6,11.03,24082.6,24188.3,24076.85
2.1.0,2026-08-28T11:59:20+05:30,24085.7,11.01,24085.7,24188.3,24076.85
2.1.0,2026-08-28T11:59:40+05:30,24086.7,11.02,24086.7,24188.3,24076.85
2.1.0,2026-08-28T12:00:20+05:30,24085.0,11.01,24085.0,24188.3,24076.85
2.1.0,2026-08-28T12:00:40+05:30,24084.8,11.02,24084.8,24188.3,24076.85
2.1.0,2026-08-28T12:01:20+05:30,24083.65,11.01,24083.65,24188.3,24076.85
2.1.0,2026-08-28T12:01:40+05:30,24084.9,11.03,24084.9,24188.3,24076.85
2.1.0,2026-08-28T12:02:20+05:30,24083.35,11.0,24083.35,24188.3,24076.85
2.1.0,2026-08-28T12:02:39+05:30,24084.1,11.0,24084.1,24188.3,24076.85
2.1.0,2026-08-28T12:03:20+05:30,24084.3,11.02,24084.3,24188.3,24076.85
2.1.0,2026-08-28T12:03:40+05:30,24083.6,10.99,24083.6,24188.3,24076.85
2.1.0,2026-08-28T12:04:20+05:30,24083.7,11.04,24083.7,24188.3,24076.85
2.1.0,2026-08-28T12:04:40+05:30,24091.1,10.95,24091.1,24188.3,24076.85
2.1.0,2026-08-28T12:05:20+05:30,24086.6,10.99,24086.6,24188.3,24076.85
2.1.0,2026-08-28T12:05:40+05:30,24088.2,10.98,24088.2,24188.3,24076.85
2.1.0,2026-08-28T12:06:19+05:30,24086.95,11.05,24086.95,24188.3,24076.85
2.1.0,2026-08-28T12:06:40+05:30,24088.7,11.0,24088.7,24188.3,24076.85
2.1.0,2026-08-28T12:07:19+05:30,24091.1,10.94,24091.1,24188.3,24076.85
2.1.0,2026-08-28T12:07:40+05:30,24092.25,10.94,24092.25,24188.3,24076.85
2.1.0,2026-08-28T12:08:20+05:30,24096.3,10.93,24096.3,24188.3,24076.85
2.1.0,2026-08-28T12:08:40+05:30,24097.0,10.92,24097.0,24188.3,24076.85
2.1.0,2026-08-28T12:09:20+05:30,24091.0,10.99,24091.0,24188.3,24076.85
2.1.0,2026-08-28T12:09:39+05:30,24090.85,11.0,24090.85,24188.3,24076.85
2.1.0,2026-08-28T12:10:20+05:30,24086.85,11.05,24086.85,24188.3,24076.85
2.1.0,2026-08-28T12:10:40+05:30,24084.0,11.07,24084.0,24188.3,24076.85
2.1.0,2026-08-28T12:11:20+05:30,24081.8,11.06,24081.8,24188.3,24076.85
2.1.0,2026-08-28T12:11:40+05:30,24079.75,11.04,24079.75,24188.3,24076.85
2.1.0,2026-08-28T12:12:20+05:30,24078.05,11.07,24078.05,24188.3,24076.85
2.1.0,2026-08-28T12:12:40+05:30,24080.15,11.1,24080.15,24188.3,24076.85
2.1.0,2026-08-28T12:13:20+05:30,24080.85,11.1,24080.85,24188.3,24076.85
2.1.0,2026-08-28T12:13:40+05:30,24081.75,11.1,24081.75,24188.3,24076.85
2.1.0,2026-08-28T12:14:20+05:30,24085.35,11.09,24085.35,24188.3,24076.85
2.1.0,2026-08-28T12:14:39+05:30,24087.6,11.06,24087.6,24188.3,24076.85
2.1.0,2026-08-28T12:15:20+05:30,24086.55,11.07,24086.55,24188.3,24076.85
2.1.0,2026-08-28T12:15:40+05:30,24086.9,11.11,24086.9,24188.3,24076.85
2.1.0,2026-08-28T12:16:20+05:30,24087.2,11.1,24087.2,24188.3,24076.85
2.1.0,2026-08-28T12:16:39+05:30,24085.65,11.13,24085.65,24188.3,24076.85
2.1.0,2026-08-28T12:17:20+05:30,24086.3,11.13,24086.3,24188.3,24076.85
2.1.0,2026-08-28T12:17:40+05:30,24087.0,11.1,24087.0,24188.3,24076.85
2.1.0,2026-08-28T12:18:19+05:30,24087.95,11.1,24087.95,24188.3,24076.85
2.1.0,2026-08-28T12:18:39+05:30,24088.45,11.1,24088.45,24188.3,24076.85
2.1.0,2026-08-28T12:19:20+05:30,24087.55,11.11,24087.55,24188.3,24076.85
2.1.0,2026-08-28T12:19:40+05:30,24087.15,11.11,24087.15,24188.3,24076.85
2.1.0,2026-08-28T12:20:20+05:30,24091.55,11.04,24091.55,24188.3,24076.85
2.1.0,2026-08-28T12:20:40+05:30,24092.7,11.0,24092.7,24188.3,24076.85
2.1.0,2026-08-28T12:21:20+05:30,24093.6,11.06,24093.6,24188.3,24076.85
2.1.0,2026-08-28T12:21:40+05:30,24092.35,11.07,24092.35,24188.3,24076.85
2.1.0,2026-08-28T12:22:20+05:30,24093.2,11.08,24093.2,24188.3,24076.85
2.1.0,2026-08-28T12:22:40+05:30,24091.7,11.12,24091.7,24188.3,24076.85
2.1.0,2026-08-28T12:23:20+05:30,24089.6,11.12,24089.6,24188.3,24076.85
2.1.0,2026-08-28T12:23:39+05:30,24087.0,11.13,24087.0,24188.3,24076.85
2.1.0,2026-08-28T12:24:20+05:30,24084.65,11.08,24084.65,24188.3,24076.85
2.1.0,2026-08-28T12:24:40+05:30,24085.9,11.09,24085.9,24188.3,24076.85
2.1.0,2026-08-28T12:25:20+05:30,24084.1,11.11,24084.1,24188.3,24076.85
