schema_version,snapshot_id,capture_timestamp,source_timestamp,timezone,source,nifty_last,nifty_pchange,bank_last,bank_pchange,it_last,it_pchange,fin_service_last,fin_service_pchange,fmcg_last,fmcg_pchange,auto_last,auto_pchange,metal_last,metal_pchange,pharma_last,pharma_pchange,energy_last,energy_pchange,psu_bank_last,psu_bank_pchange,realty_last,realty_pchange,midcap_select_last,midcap_select_pchange,infra_last,infra_pchange
2.1.0,20260828_111310_089,2026-08-28T11:13:10+05:30,2026-08-28T11:13:10+05:30,Asia/Kolkata,NSE,24158.7,0.28,57517.1,0.01,31216.75,3.29,26290.85,0.04,46928.55,-0.22,28929.25,0.16,13490.15,0.48,26907.2,0.22,38088.95,-0.04,8588.6,0.01,912.35,0.3,,,9238.5,0.01
2.1.0,20260828_111402_999,2026-08-28T11:14:02+05:30,2026-08-28T11:14:02+05:30,Asia/Kolkata,NSE,24159.45,0.28,57519.95,0.02,31216.45,3.29,26295.6,0.06,46938.75,-0.19,28932.6,0.17,13488.15,0.47,26912.75,0.24,38081.85,-0.06,8590.4,0.03,912.75,0.35,,,9237.45,-0.0
2.1.0,20260828_111503_000,2026-08-28T11:15:03+05:30,2026-08-28T11:15:03+05:30,Asia/Kolkata,NSE,24162.5,0.3,57524.85,0.03,31200.9,3.24,26298.1,0.07,46946.6,-0.18,28930.55,0.16,13501.25,0.57,26922.1,0.27,38089.3,-0.04,8588.65,0.01,912.85,0.36,,,9239.6,0.02
2.1.0,20260828_111603_000,2026-08-28T11:16:03+05:30,2026-08-28T11:16:03+05:30,Asia/Kolkata,NSE,24160.65,0.29,57520.85,0.02,31206.8,3.26,26296.4,0.06,46942.15,-0.19,28924.0,0.14,13496.35,0.53,26926.85,0.29,38099.8,-0.01,8589.75,0.02,912.75,0.35,,,9239.05,0.01
2.1.0,20260828_111703_000,2026-08-28T11:17:03+05:30,2026-08-28T11:17:03+05:30,Asia/Kolkata,NSE,24159.2,0.28,57499.8,-0.02,31212.3,3.28,26285.95,0.02,46944.9,-0.18,28920.25,0.13,13487.2,0.46,26918.6,0.26,38097.6,-0.02,8587.2,-0.01,912.35,0.3,,,9240.5,0.03
2.1.0,20260828_111803_000,2026-08-28T11:18:03+05:30,2026-08-28T11:18:03+05:30,Asia/Kolkata,NSE,24153.3,0.26,57487.75,-0.04,31212.45,3.28,26277.8,-0.01,46931.55,-0.21,28897.1,0.05,13481.0,0.42,26913.5,0.24,38092.9,-0.03,8586.15,-0.02,912.25,0.29,,,9239.0,0.01
2.1.0,20260828_111903_000,2026-08-28T11:19:03+05:30,2026-08-28T11:19:03+05:30,Asia/Kolkata,NSE,24149.15,0.24,57481.0,-0.05,31218.9,3.3,26273.55,-0.03,46937.35,-0.2,28884.7,0.0,13473.4,0.36,26914.55,0.25,38090.2,-0.04,8585.2,-0.03,911.6,0.22,,,9236.0,-0.02
2.1.0,20260828_112003_000,2026-08-28T11:20:03+05:30,2026-08-28T11:20:03+05:30,Asia/Kolkata,NSE,24151.65,0.25,57480.75,-0.05,31225.4,3.32,26278.45,-0.01,46933.9,-0.21,28872.95,-0.04,13471.3,0.34,26911.85,0.24,38086.2,-0.05,8586.4,-0.02,911.55,0.21,,,9237.15,-0.01
2.1.0,20260828_112103_000,2026-08-28T11:21:03+05:30,2026-08-28T11:21:03+05:30,Asia/Kolkata,NSE,24146.95,0.23,57486.1,-0.04,31234.05,3.35,26281.4,0.0,46914.3,-0.25,28852.5,-0.11,13469.35,0.33,26906.2,0.21,38085.2,-0.05,8586.85,-0.01,911.85,0.25,,,9234.3,-0.04
2.1.0,20260828_112203_000,2026-08-28T11:22:03+05:30,2026-08-28T11:22:03+05:30,Asia/Kolkata,NSE,24144.3,0.22,57486.9,-0.04,31209.8,3.27,26281.5,0.0,46904.8,-0.27,28852.65,-0.11,13457.65,0.24,26899.75,0.19,38078.55,-0.07,8584.9,-0.03,911.65,0.23,,,9232.9,-0.05
2.1.0,20260828_112303_000,2026-08-28T11:23:03+05:30,2026-08-28T11:23:03+05:30,Asia/Kolkata,NSE,24144.0,0.22,57479.65,-0.05,31208.05,3.27,26276.55,-0.02,46909.95,-0.26,28861.05,-0.08,13452.8,0.21,26888.75,0.15,38066.85,-0.1,8582.3,-0.06,911.45,0.2,,,9233.15,-0.05
2.1.0,20260828_112403_001,2026-08-28T11:24:03+05:30,2026-08-28T11:24:03+05:30,Asia/Kolkata,NSE,24140.65,0.21,57474.9,-0.06,31206.75,3.26,26269.7,-0.04,46907.25,-0.26,28864.1,-0.07,13448.45,0.17,26890.05,0.15,38062.1,-0.11,8580.8,-0.08,911.4,0.2,,,9231.25,-0.07
2.1.0,20260828_112503_000,2026-08-28T11:25:03+05:30,2026-08-28T11:25:03+05:30,Asia/Kolkata,NSE,24139.95,0.2,57474.0,-0.06,31183.8,3.19,26273.3,-0.03,46904.8,-0.27,28864.45,-0.07,13444.9,0.15,26895.0,0.17,38055.5,-0.13,8581.5,-0.07,911.35,0.19,,,9231.6,-0.07
2.1.0,20260828_112602_999,2026-08-28T11:26:02+05:30,2026-08-28T11:26:02+05:30,Asia/Kolkata,NSE,24138.9,0.2,57466.15,-0.08,31175.3,3.16,26268.0,-0.05,46901.0,-0.28,28863.9,-0.07,13444.4,0.14,26893.45,0.17,38051.85,-0.14,8580.9,-0.08,911.05,0.16,,,9231.45,-0.07
2.1.0,20260828_112702_999,2026-08-28T11:27:02+05:30,2026-08-28T11:27:02+05:30,Asia/Kolkata,NSE,24129.05,0.16,57449.05,-0.11,31173.2,3.15,26256.25,-0.09,46900.55,-0.28,28853.4,-0.1,13430.15,0.04,26884.4,0.13,38054.55,-0.13,8579.0,-0.1,911.0,0.15,,,9228.45,-0.1
2.1.0,20260828_112803_000,2026-08-28T11:28:03+05:30,2026-08-28T11:28:03+05:30,Asia/Kolkata,NSE,24130.05,0.16,57447.9,-0.11,31166.25,3.13,26257.35,-0.09,46899.95,-0.28,28857.0,-0.09,13433.25,0.06,26882.45,0.13,38061.5,-0.11,8578.8,-0.1,911.1,0.16,,,9229.85,-0.09
2.1.0,20260828_112903_000,2026-08-28T11:29:03+05:30,2026-08-28T11:29:03+05:30,Asia/Kolkata,NSE,24124.45,0.14,57445.5,-0.11,31158.15,3.1,26255.75,-0.09,46896.05,-0.29,28837.3,-0.16,13426.45,0.01,26882.7,0.13,38053.5,-0.13,8580.4,-0.09,910.4,0.09,,,9226.95,-0.12
2.1.0,20260828_113003_000,2026-08-28T11:30:03+05:30,2026-08-28T11:30:03+05:30,Asia/Kolkata,NSE,24116.9,0.11,57424.9,-0.15,31129.9,3.01,26246.55,-0.13,46896.6,-0.28,28811.85,-0.25,13425.65,0.0,26875.7,0.1,38057.45,-0.12,8574.7,-0.15,909.4,-0.02,,,9224.1,-0.15
2.1.0,20260828_113103_000,2026-08-28T11:31:03+05:30,2026-08-28T11:31:03+05:30,Asia/Kolkata,NSE,24120.05,0.12,57428.65,-0.14,31134.5,3.02,26249.65,-0.12,46884.35,-0.31,28806.65,-0.27,13428.6,0.03,26876.75,0.1,38057.8,-0.12,8573.95,-0.16,909.2,-0.04,,,9226.4,-0.12
